A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
"HadsInt,2","HadsInt,3",0.3256,False,0.5083,negligible
"HadsInt,2","Hsi,2",0.9571,False,0.4995,negligible
"HadsInt,2","Hsi,3",0.3280,False,0.5082,negligible
"HadsInt,2","W,2",0.0000,True,0.5481,negligible
"HadsInt,2","W,3",0.0000,True,0.5532,negligible
"HadsInt,2","Wp,2",0.0738,False,0.5151,negligible
"HadsInt,2","Wp,3",0.0045,True,0.5239,negligible
"HadsInt,3","Hsi,2",0.3043,False,0.4913,negligible
"HadsInt,3","Hsi,3",0.9923,False,0.4999,negligible
"HadsInt,3","W,2",0.0000,True,0.5403,negligible
"HadsInt,3","W,3",0.0000,True,0.5461,negligible
"HadsInt,3","Wp,2",0.4208,False,0.5068,negligible
"HadsInt,3","Wp,3",0.0567,False,0.5161,negligible
"Hsi,2","Hsi,3",0.3061,False,0.5086,negligible
"Hsi,2","W,2",0.0000,True,0.5486,negligible
"Hsi,2","W,3",0.0000,True,0.5536,negligible
"Hsi,2","Wp,2",0.0651,False,0.5155,negligible
"Hsi,2","Wp,3",0.0039,True,0.5243,negligible
"Hsi,3","W,2",0.0000,True,0.5403,negligible
"Hsi,3","W,3",0.0000,True,0.5461,negligible
"Hsi,3","Wp,2",0.4203,False,0.5068,negligible
"Hsi,3","Wp,3",0.0576,False,0.5160,negligible
"W,2","W,3",0.4599,False,0.5062,negligible
"W,2","Wp,2",0.0001,True,0.4658,negligible
"W,2","Wp,3",0.0031,True,0.4750,negligible
"W,3","Wp,2",0.0000,True,0.4604,negligible
"W,3","Wp,3",0.0002,True,0.4690,negligible
"Wp,2","Wp,3",0.2744,False,0.5092,negligible
