A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
H,HadsInt,0.1307,False,0.4083,small
H,Hsi,0.0718,False,0.3908,small
H,SPY,0.8913,False,0.4915,negligible
H,SPYH,0.2016,False,0.5775,small
H,W,0.0041,True,0.6739,medium
H,Wp,0.9969,False,0.4995,negligible
HadsInt,Hsi,0.6309,False,0.4707,negligible
HadsInt,SPY,0.0970,False,0.6007,small
HadsInt,SPYH,0.0031,True,0.6791,medium
HadsInt,W,0.0000,True,0.7918,large
HadsInt,Wp,0.0434,True,0.6224,small
Hsi,SPY,0.0603,False,0.6139,small
Hsi,SPYH,0.0012,True,0.6966,medium
Hsi,W,0.0000,True,0.8055,large
Hsi,Wp,0.0140,True,0.6489,small
SPY,SPYH,0.1855,False,0.5803,small
SPY,W,0.0013,True,0.6947,medium
SPY,Wp,0.9409,False,0.4953,negligible
SPYH,W,0.1705,False,0.5832,small
SPYH,Wp,0.0552,False,0.3837,small
W,Wp,0.0001,True,0.2597,large
