A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
W,Wp,0.0000,True,0.8164,large
W,HSI,0.0000,True,0.8854,large
W,H,0.0000,True,0.7958,large
W,SPY,0.0000,True,0.8010,large
W,SPY-H,0.0001,True,0.7311,medium
W,H-ADS,0.0000,True,0.8774,large
W,I-ADS,0.0000,True,0.9244,large
Wp,HSI,0.0017,True,0.6905,medium
Wp,H,0.5475,False,0.5366,negligible
Wp,SPY,0.4943,False,0.5416,negligible
Wp,SPY-H,0.1752,False,0.4178,small
Wp,H-ADS,0.0063,True,0.6654,medium
Wp,I-ADS,0.0000,True,0.7968,large
HSI,H,0.0970,False,0.3993,small
HSI,SPY,0.0495,True,0.3809,small
HSI,SPY-H,0.0004,True,0.2850,medium
HSI,H-ADS,0.7047,False,0.4768,negligible
HSI,I-ADS,0.0101,True,0.6560,small
H,SPY,0.8056,False,0.4849,negligible
H,SPY-H,0.0727,False,0.3913,small
H,H-ADS,0.1347,False,0.5907,small
H,I-ADS,0.0004,True,0.7141,medium
SPY,SPY-H,0.1207,False,0.4060,small
SPY,H-ADS,0.0986,False,0.6002,small
SPY,I-ADS,0.0001,True,0.7453,large
SPY-H,H-ADS,0.0007,True,0.7042,medium
SPY-H,I-ADS,0.0000,True,0.8124,large
H-ADS,I-ADS,0.0059,True,0.6668,medium
