A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
"HadsInt,2","HadsInt,3",0.5188,False,0.5054,negligible
"HadsInt,2","Hsi,2",0.9661,False,0.4996,negligible
"HadsInt,2","Hsi,3",0.5209,False,0.5054,negligible
"HadsInt,2","W,2",0.0000,True,0.5479,negligible
"HadsInt,2","W,3",0.0000,True,0.5499,negligible
"HadsInt,2","Wp,2",0.0762,False,0.5149,negligible
"HadsInt,2","Wp,3",0.0137,True,0.5208,negligible
"HadsInt,3","Hsi,2",0.4960,False,0.4943,negligible
"HadsInt,3","Hsi,3",0.9991,False,0.5000,negligible
"HadsInt,3","W,2",0.0000,True,0.5432,negligible
"HadsInt,3","W,3",0.0000,True,0.5458,negligible
"HadsInt,3","Wp,2",0.2545,False,0.5096,negligible
"HadsInt,3","Wp,3",0.0592,False,0.5159,negligible
"Hsi,2","Hsi,3",0.4978,False,0.5057,negligible
"Hsi,2","W,2",0.0000,True,0.5482,negligible
"Hsi,2","W,3",0.0000,True,0.5502,negligible
"Hsi,2","Wp,2",0.0690,False,0.5153,negligible
"Hsi,2","Wp,3",0.0122,True,0.5211,negligible
"Hsi,3","W,2",0.0000,True,0.5431,negligible
"Hsi,3","W,3",0.0000,True,0.5457,negligible
"Hsi,3","Wp,2",0.2560,False,0.5096,negligible
"Hsi,3","Wp,3",0.0614,False,0.5158,negligible
"W,2","W,3",0.7376,False,0.5028,negligible
"W,2","Wp,2",0.0001,True,0.4660,negligible
"W,2","Wp,3",0.0008,True,0.4719,negligible
"W,3","Wp,2",0.0000,True,0.4638,negligible
"W,3","Wp,3",0.0002,True,0.4691,negligible
"Wp,2","Wp,3",0.4735,False,0.5060,negligible
