A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
"H-ADS,2","H-ADS,3",0.8176,False,0.4981,negligible
"H-ADS,2","HSI,2",0.9835,False,0.5002,negligible
"H-ADS,2","HSI,3",0.8190,False,0.4981,negligible
"H-ADS,2","W,2",0.0099,True,0.4783,negligible
"H-ADS,2","W,3",0.0162,True,0.4797,negligible
"H-ADS,2","Wp,2",0.3320,False,0.4918,negligible
"H-ADS,2","Wp,3",0.2601,False,0.4905,negligible
"H-ADS,3","HSI,2",0.8007,False,0.5021,negligible
"H-ADS,3","HSI,3",0.9922,False,0.5001,negligible
"H-ADS,3","W,2",0.0248,True,0.4811,negligible
"H-ADS,3","W,3",0.0322,True,0.4819,negligible
"H-ADS,3","Wp,2",0.4806,False,0.4941,negligible
"H-ADS,3","Wp,3",0.4057,False,0.4930,negligible
"HSI,2","HSI,3",0.8048,False,0.4979,negligible
"HSI,2","W,2",0.0092,True,0.4780,negligible
"HSI,2","W,3",0.0151,True,0.4795,negligible
"HSI,2","Wp,2",0.3242,False,0.4917,negligible
"HSI,2","Wp,3",0.2513,False,0.4903,negligible
"HSI,3","W,2",0.0241,True,0.4810,negligible
"HSI,3","W,3",0.0314,True,0.4819,negligible
"HSI,3","Wp,2",0.4783,False,0.4940,negligible
"HSI,3","Wp,3",0.4019,False,0.4929,negligible
"W,2","W,3",0.9671,False,0.5003,negligible
"W,2","Wp,2",0.1030,False,0.5137,negligible
"W,2","Wp,3",0.1694,False,0.5116,negligible
"W,3","Wp,2",0.1356,False,0.5126,negligible
"W,3","Wp,3",0.1865,False,0.5111,negligible
"Wp,2","Wp,3",0.8508,False,0.4984,negligible
