A,B,mwu,mwu<0.05,vda_estimate,vda_magnitude
"HadsInt,2","HadsInt,3",0.6803,False,0.4965,negligible
"HadsInt,2","Hsi,2",0.9222,False,0.5008,negligible
"HadsInt,2","Hsi,3",0.7063,False,0.4968,negligible
"HadsInt,2","W,2",0.0000,True,0.4237,small
"HadsInt,2","W,3",0.0000,True,0.4236,small
"HadsInt,2","Wp,2",0.0051,True,0.4764,negligible
"HadsInt,2","Wp,3",0.0003,True,0.4697,negligible
"HadsInt,3","Hsi,2",0.6095,False,0.5043,negligible
"HadsInt,3","Hsi,3",0.9626,False,0.5004,negligible
"HadsInt,3","W,2",0.0000,True,0.4257,small
"HadsInt,3","W,3",0.0000,True,0.4255,small
"HadsInt,3","Wp,2",0.0172,True,0.4799,negligible
"HadsInt,3","Wp,3",0.0014,True,0.4730,negligible
"Hsi,2","Hsi,3",0.6345,False,0.4960,negligible
"Hsi,2","W,2",0.0000,True,0.4228,small
"Hsi,2","W,3",0.0000,True,0.4226,small
"Hsi,2","Wp,2",0.0037,True,0.4755,negligible
"Hsi,2","Wp,3",0.0002,True,0.4688,negligible
"Hsi,3","W,2",0.0000,True,0.4254,small
"Hsi,3","W,3",0.0000,True,0.4252,small
"Hsi,3","Wp,2",0.0155,True,0.4796,negligible
"Hsi,3","Wp,3",0.0012,True,0.4727,negligible
"W,2","W,3",0.9455,False,0.4994,negligible
"W,2","Wp,2",0.0000,True,0.5540,negligible
"W,2","Wp,3",0.0000,True,0.5477,negligible
"W,3","Wp,2",0.0000,True,0.5543,negligible
"W,3","Wp,3",0.0000,True,0.5481,negligible
"Wp,2","Wp,3",0.3979,False,0.4929,negligible
