,SUL name,HypSizePercent,CTT,Total cost
4,4_learnresult_MAESTRO_fix.dot,16.666666666666664,W,28
4,4_learnresult_MAESTRO_fix.dot,66.66666666666666,W,280
4,4_learnresult_MAESTRO_fix.dot,83.33333333333334,W,15112
4,4_learnresult_MAESTRO_fix.dot,100.0,W,31524
38,4_learnresult_MAESTRO_fix.dot,16.666666666666664,HadsInt,28
38,4_learnresult_MAESTRO_fix.dot,66.66666666666666,HadsInt,280
38,4_learnresult_MAESTRO_fix.dot,83.33333333333334,HadsInt,15112
38,4_learnresult_MAESTRO_fix.dot,100.0,HadsInt,25521
94,4_learnresult_MAESTRO_fix.dot,16.666666666666664,Wp,28
94,4_learnresult_MAESTRO_fix.dot,66.66666666666666,Wp,280
94,4_learnresult_MAESTRO_fix.dot,83.33333333333334,Wp,15112
94,4_learnresult_MAESTRO_fix.dot,100.0,Wp,25521
106,4_learnresult_MAESTRO_fix.dot,16.666666666666664,Hsi,28
106,4_learnresult_MAESTRO_fix.dot,66.66666666666666,Hsi,280
106,4_learnresult_MAESTRO_fix.dot,83.33333333333334,Hsi,15112
106,4_learnresult_MAESTRO_fix.dot,100.0,Hsi,25521
434,4_learnresult_MAESTRO_fix.dot,16.666666666666664,H,28
434,4_learnresult_MAESTRO_fix.dot,66.66666666666666,H,280
434,4_learnresult_MAESTRO_fix.dot,83.33333333333334,H,31593
434,4_learnresult_MAESTRO_fix.dot,100.0,H,52408
551,4_learnresult_MAESTRO_fix.dot,16.666666666666664,SPY,28
551,4_learnresult_MAESTRO_fix.dot,66.66666666666666,SPY,280
551,4_learnresult_MAESTRO_fix.dot,83.33333333333334,SPY,6177
551,4_learnresult_MAESTRO_fix.dot,100.0,SPY,21665
600,4_learnresult_MAESTRO_fix.dot,16.666666666666664,SPYH,28
600,4_learnresult_MAESTRO_fix.dot,66.66666666666666,SPYH,280
600,4_learnresult_MAESTRO_fix.dot,83.33333333333334,SPYH,25774
600,4_learnresult_MAESTRO_fix.dot,100.0,SPYH,123618
