,SUL name,HypSizePercent,CTT,Total cost
91,4_learnresult_PIN_fix.dot,16.666666666666664,Hsi,28
91,4_learnresult_PIN_fix.dot,66.66666666666666,Hsi,280
91,4_learnresult_PIN_fix.dot,83.33333333333334,Hsi,15112
91,4_learnresult_PIN_fix.dot,100.0,Hsi,25521
211,4_learnresult_PIN_fix.dot,16.666666666666664,HadsInt,28
211,4_learnresult_PIN_fix.dot,66.66666666666666,HadsInt,280
211,4_learnresult_PIN_fix.dot,83.33333333333334,HadsInt,15112
211,4_learnresult_PIN_fix.dot,100.0,HadsInt,25521
289,4_learnresult_PIN_fix.dot,16.666666666666664,W,28
289,4_learnresult_PIN_fix.dot,66.66666666666666,W,280
289,4_learnresult_PIN_fix.dot,83.33333333333334,W,15112
289,4_learnresult_PIN_fix.dot,100.0,W,31524
362,4_learnresult_PIN_fix.dot,16.666666666666664,Wp,28
362,4_learnresult_PIN_fix.dot,66.66666666666666,Wp,280
362,4_learnresult_PIN_fix.dot,83.33333333333334,Wp,15112
362,4_learnresult_PIN_fix.dot,100.0,Wp,25521
381,4_learnresult_PIN_fix.dot,16.666666666666664,H,28
381,4_learnresult_PIN_fix.dot,66.66666666666666,H,280
381,4_learnresult_PIN_fix.dot,83.33333333333334,H,31593
381,4_learnresult_PIN_fix.dot,100.0,H,52408
478,4_learnresult_PIN_fix.dot,16.666666666666664,SPY,28
478,4_learnresult_PIN_fix.dot,66.66666666666666,SPY,280
478,4_learnresult_PIN_fix.dot,83.33333333333334,SPY,6177
478,4_learnresult_PIN_fix.dot,100.0,SPY,21665
553,4_learnresult_PIN_fix.dot,16.666666666666664,SPYH,28
553,4_learnresult_PIN_fix.dot,66.66666666666666,SPYH,280
553,4_learnresult_PIN_fix.dot,83.33333333333334,SPYH,25774
553,4_learnresult_PIN_fix.dot,100.0,SPYH,123618
