,SUL name,HypSizePercent,CTT,Total cost
24,4_learnresult_SecureCode Aut_fix.dot,25.0,W,28
24,4_learnresult_SecureCode Aut_fix.dot,75.0,W,196
24,4_learnresult_SecureCode Aut_fix.dot,100.0,W,14665
132,4_learnresult_SecureCode Aut_fix.dot,25.0,HSI,28
132,4_learnresult_SecureCode Aut_fix.dot,75.0,HSI,196
132,4_learnresult_SecureCode Aut_fix.dot,100.0,HSI,14665
145,4_learnresult_SecureCode Aut_fix.dot,25.0,H-ADS,28
145,4_learnresult_SecureCode Aut_fix.dot,75.0,H-ADS,196
145,4_learnresult_SecureCode Aut_fix.dot,100.0,H-ADS,14665
320,4_learnresult_SecureCode Aut_fix.dot,25.0,Wp,28
320,4_learnresult_SecureCode Aut_fix.dot,75.0,Wp,196
320,4_learnresult_SecureCode Aut_fix.dot,100.0,Wp,14665
394,4_learnresult_SecureCode Aut_fix.dot,25.0,H,28
394,4_learnresult_SecureCode Aut_fix.dot,75.0,H,196
394,4_learnresult_SecureCode Aut_fix.dot,100.0,H,31440
461,4_learnresult_SecureCode Aut_fix.dot,25.0,SPY,28
461,4_learnresult_SecureCode Aut_fix.dot,75.0,SPY,196
461,4_learnresult_SecureCode Aut_fix.dot,100.0,SPY,6038
503,4_learnresult_SecureCode Aut_fix.dot,25.0,SPY-H,28
503,4_learnresult_SecureCode Aut_fix.dot,75.0,SPY-H,196
503,4_learnresult_SecureCode Aut_fix.dot,100.0,SPY-H,25621
