,SUL name,HypSizePercent,CTT,Total cost
13,ASN_learnresult_MAESTRO_fix.dot,16.666666666666664,Wp,28
13,ASN_learnresult_MAESTRO_fix.dot,66.66666666666666,Wp,280
13,ASN_learnresult_MAESTRO_fix.dot,83.33333333333334,Wp,15112
13,ASN_learnresult_MAESTRO_fix.dot,100.0,Wp,25521
41,ASN_learnresult_MAESTRO_fix.dot,16.666666666666664,HSI,28
41,ASN_learnresult_MAESTRO_fix.dot,66.66666666666666,HSI,280
41,ASN_learnresult_MAESTRO_fix.dot,83.33333333333334,HSI,15112
41,ASN_learnresult_MAESTRO_fix.dot,100.0,HSI,25521
189,ASN_learnresult_MAESTRO_fix.dot,16.666666666666664,W,28
189,ASN_learnresult_MAESTRO_fix.dot,66.66666666666666,W,280
189,ASN_learnresult_MAESTRO_fix.dot,83.33333333333334,W,15112
189,ASN_learnresult_MAESTRO_fix.dot,100.0,W,31524
234,ASN_learnresult_MAESTRO_fix.dot,16.666666666666664,H-ADS,28
234,ASN_learnresult_MAESTRO_fix.dot,66.66666666666666,H-ADS,280
234,ASN_learnresult_MAESTRO_fix.dot,83.33333333333334,H-ADS,15112
234,ASN_learnresult_MAESTRO_fix.dot,100.0,H-ADS,25521
378,ASN_learnresult_MAESTRO_fix.dot,16.666666666666664,H,28
378,ASN_learnresult_MAESTRO_fix.dot,66.66666666666666,H,280
378,ASN_learnresult_MAESTRO_fix.dot,83.33333333333334,H,31593
378,ASN_learnresult_MAESTRO_fix.dot,100.0,H,52408
545,ASN_learnresult_MAESTRO_fix.dot,16.666666666666664,SPY,28
545,ASN_learnresult_MAESTRO_fix.dot,66.66666666666666,SPY,280
545,ASN_learnresult_MAESTRO_fix.dot,83.33333333333334,SPY,6177
545,ASN_learnresult_MAESTRO_fix.dot,100.0,SPY,21665
562,ASN_learnresult_MAESTRO_fix.dot,16.666666666666664,SPY-H,28
562,ASN_learnresult_MAESTRO_fix.dot,66.66666666666666,SPY-H,280
562,ASN_learnresult_MAESTRO_fix.dot,83.33333333333334,SPY-H,25774
562,ASN_learnresult_MAESTRO_fix.dot,100.0,SPY-H,123618
