,SUL name,HypSizePercent,CTT,Total cost
39,ASN_learnresult_SecureCode Aut_fix.dot,25.0,W,28
39,ASN_learnresult_SecureCode Aut_fix.dot,75.0,W,196
39,ASN_learnresult_SecureCode Aut_fix.dot,100.0,W,14665
230,ASN_learnresult_SecureCode Aut_fix.dot,25.0,HadsInt,28
230,ASN_learnresult_SecureCode Aut_fix.dot,75.0,HadsInt,196
230,ASN_learnresult_SecureCode Aut_fix.dot,100.0,HadsInt,14665
238,ASN_learnresult_SecureCode Aut_fix.dot,25.0,Hsi,28
238,ASN_learnresult_SecureCode Aut_fix.dot,75.0,Hsi,196
238,ASN_learnresult_SecureCode Aut_fix.dot,100.0,Hsi,14665
313,ASN_learnresult_SecureCode Aut_fix.dot,25.0,Wp,28
313,ASN_learnresult_SecureCode Aut_fix.dot,75.0,Wp,196
313,ASN_learnresult_SecureCode Aut_fix.dot,100.0,Wp,14665
368,ASN_learnresult_SecureCode Aut_fix.dot,25.0,H,28
368,ASN_learnresult_SecureCode Aut_fix.dot,75.0,H,196
368,ASN_learnresult_SecureCode Aut_fix.dot,100.0,H,31440
539,ASN_learnresult_SecureCode Aut_fix.dot,25.0,SPY,28
539,ASN_learnresult_SecureCode Aut_fix.dot,75.0,SPY,196
539,ASN_learnresult_SecureCode Aut_fix.dot,100.0,SPY,6038
616,ASN_learnresult_SecureCode Aut_fix.dot,25.0,SPYH,28
616,ASN_learnresult_SecureCode Aut_fix.dot,75.0,SPYH,196
616,ASN_learnresult_SecureCode Aut_fix.dot,100.0,SPYH,25621
