,SUL name,HypSizePercent,CTT,Total cost
21,BitVise.dot,1.5151515151515151,H-ADS,26
21,BitVise.dot,6.0606060606060606,H-ADS,234
21,BitVise.dot,7.575757575757576,H-ADS,529
21,BitVise.dot,9.090909090909092,H-ADS,22740
21,BitVise.dot,10.606060606060606,H-ADS,45018
21,BitVise.dot,19.696969696969695,H-ADS,52660
21,BitVise.dot,21.21212121212121,H-ADS,69881
21,BitVise.dot,22.727272727272727,H-ADS,139470
21,BitVise.dot,28.78787878787879,H-ADS,160389
21,BitVise.dot,30.303030303030305,H-ADS,163053
21,BitVise.dot,31.818181818181817,H-ADS,202921
21,BitVise.dot,36.36363636363637,H-ADS,204541
21,BitVise.dot,50.0,H-ADS,232986
21,BitVise.dot,51.515151515151516,H-ADS,345743
21,BitVise.dot,54.54545454545454,H-ADS,376773
21,BitVise.dot,57.57575757575758,H-ADS,378094
21,BitVise.dot,59.09090909090909,H-ADS,379418
21,BitVise.dot,60.60606060606061,H-ADS,380035
21,BitVise.dot,62.121212121212125,H-ADS,484607
21,BitVise.dot,63.63636363636363,H-ADS,497369
21,BitVise.dot,65.15151515151516,H-ADS,521042
21,BitVise.dot,68.18181818181817,H-ADS,582095
21,BitVise.dot,69.6969696969697,H-ADS,907233
21,BitVise.dot,71.21212121212122,H-ADS,1186507
21,BitVise.dot,72.72727272727273,H-ADS,1797353
21,BitVise.dot,74.24242424242425,H-ADS,1801263
21,BitVise.dot,75.75757575757575,H-ADS,1894713
21,BitVise.dot,77.27272727272727,H-ADS,1897076
21,BitVise.dot,78.78787878787878,H-ADS,1960127
21,BitVise.dot,80.3030303030303,H-ADS,2057263
21,BitVise.dot,86.36363636363636,H-ADS,2174517
21,BitVise.dot,89.39393939393939,H-ADS,2245473
21,BitVise.dot,90.9090909090909,H-ADS,2293435
21,BitVise.dot,92.42424242424242,H-ADS,2323358
21,BitVise.dot,93.93939393939394,H-ADS,2462890
21,BitVise.dot,95.45454545454545,H-ADS,2600128
21,BitVise.dot,96.96969696969697,H-ADS,2775473
21,BitVise.dot,100.0,H-ADS,2878692
28,BitVise.dot,1.5151515151515151,Wp,26
28,BitVise.dot,6.0606060606060606,Wp,234
28,BitVise.dot,7.575757575757576,Wp,529
28,BitVise.dot,9.090909090909092,Wp,36002
28,BitVise.dot,10.606060606060606,Wp,46091
28,BitVise.dot,22.727272727272727,Wp,74598
28,BitVise.dot,24.242424242424242,Wp,75850
28,BitVise.dot,25.757575757575758,Wp,217124
28,BitVise.dot,27.27272727272727,Wp,217534
28,BitVise.dot,31.818181818181817,Wp,234732
28,BitVise.dot,33.33333333333333,Wp,239241
28,BitVise.dot,34.84848484848485,Wp,240311
28,BitVise.dot,37.878787878787875,Wp,241272
28,BitVise.dot,39.39393939393939,Wp,242963
28,BitVise.dot,40.909090909090914,Wp,297037
28,BitVise.dot,42.42424242424242,Wp,315016
28,BitVise.dot,43.93939393939394,Wp,342233
28,BitVise.dot,46.96969696969697,Wp,343469
28,BitVise.dot,51.515151515151516,Wp,345755
28,BitVise.dot,54.54545454545454,Wp,346920
28,BitVise.dot,56.060606060606055,Wp,348031
28,BitVise.dot,60.60606060606061,Wp,573397
28,BitVise.dot,62.121212121212125,Wp,575978
28,BitVise.dot,63.63636363636363,Wp,606374
28,BitVise.dot,65.15151515151516,Wp,999205
28,BitVise.dot,66.66666666666666,Wp,1250805
