,SUL name,HypSizePercent,CTT,Total cost
52,DropBear.dot,5.88235294117647,Wp,26
52,DropBear.dot,11.76470588235294,Wp,117
52,DropBear.dot,17.647058823529413,Wp,375
52,DropBear.dot,35.294117647058826,Wp,29217
52,DropBear.dot,47.05882352941176,Wp,57293
52,DropBear.dot,58.82352941176471,Wp,141421
52,DropBear.dot,70.58823529411765,Wp,293283
52,DropBear.dot,76.47058823529412,Wp,299235
52,DropBear.dot,82.35294117647058,Wp,301060
52,DropBear.dot,88.23529411764706,Wp,301968
52,DropBear.dot,94.11764705882352,Wp,365698
52,DropBear.dot,100.0,Wp,395618
190,DropBear.dot,5.88235294117647,HSI,26
190,DropBear.dot,11.76470588235294,HSI,117
190,DropBear.dot,17.647058823529413,HSI,375
190,DropBear.dot,35.294117647058826,HSI,18538
190,DropBear.dot,58.82352941176471,HSI,73274
190,DropBear.dot,70.58823529411765,HSI,160601
190,DropBear.dot,82.35294117647058,HSI,195567
190,DropBear.dot,88.23529411764706,HSI,251903
190,DropBear.dot,94.11764705882352,HSI,338523
190,DropBear.dot,100.0,HSI,343560
283,DropBear.dot,5.88235294117647,H-ADS,26
283,DropBear.dot,11.76470588235294,H-ADS,117
283,DropBear.dot,17.647058823529413,H-ADS,375
283,DropBear.dot,35.294117647058826,H-ADS,18538
283,DropBear.dot,58.82352941176471,H-ADS,73274
283,DropBear.dot,70.58823529411765,H-ADS,178975
283,DropBear.dot,82.35294117647058,H-ADS,233254
283,DropBear.dot,88.23529411764706,H-ADS,329357
283,DropBear.dot,94.11764705882352,H-ADS,415977
283,DropBear.dot,100.0,H-ADS,421014
287,DropBear.dot,5.88235294117647,W,26
287,DropBear.dot,11.76470588235294,W,117
287,DropBear.dot,17.647058823529413,W,375
287,DropBear.dot,35.294117647058826,W,29217
287,DropBear.dot,47.05882352941176,W,69995
287,DropBear.dot,58.82352941176471,W,161890
287,DropBear.dot,70.58823529411765,W,382665
287,DropBear.dot,76.47058823529412,W,398642
287,DropBear.dot,82.35294117647058,W,399200
287,DropBear.dot,88.23529411764706,W,407146
287,DropBear.dot,94.11764705882352,W,486440
287,DropBear.dot,100.0,W,489745
370,DropBear.dot,5.88235294117647,H,26
370,DropBear.dot,11.76470588235294,H,117
370,DropBear.dot,29.411764705882355,H,516
370,DropBear.dot,35.294117647058826,H,1664
370,DropBear.dot,47.05882352941176,H,3301
370,DropBear.dot,52.94117647058824,H,134165
370,DropBear.dot,58.82352941176471,H,135800
370,DropBear.dot,70.58823529411765,H,171184
370,DropBear.dot,76.47058823529412,H,234689
370,DropBear.dot,82.35294117647058,H,271047
370,DropBear.dot,88.23529411764706,H,282868
370,DropBear.dot,94.11764705882352,H,365178
370,DropBear.dot,100.0,H,370592
462,DropBear.dot,5.88235294117647,SPY,26
462,DropBear.dot,11.76470588235294,SPY,117
462,DropBear.dot,41.17647058823529,SPY,893
462,DropBear.dot,47.05882352941176,SPY,1510
462,DropBear.dot,52.94117647058824,SPY,47784
462,DropBear.dot,58.82352941176471,SPY,111462
462,DropBear.dot,70.58823529411765,SPY,139856
462,DropBear.dot,76.47058823529412,SPY,258343
462,DropBear.dot,82.35294117647058,SPY,261730
462,DropBear.dot,88.23529411764706,SPY,263092
462,DropBear.dot,94.11764705882352,SPY,312052
462,DropBear.dot,100.0,SPY,334043
592,DropBear.dot,5.88235294117647,SPY-H,26
592,DropBear.dot,11.76470588235294,SPY-H,117
592,DropBear.dot,29.411764705882355,SPY-H,460
592,DropBear.dot,35.294117647058826,SPY-H,1322
592,DropBear.dot,47.05882352941176,SPY-H,48055
592,DropBear.dot,52.94117647058824,SPY-H,94310
592,DropBear.dot,58.82352941176471,SPY-H,96290
592,DropBear.dot,70.58823529411765,SPY-H,136337
592,DropBear.dot,76.47058823529412,SPY-H,214780
592,DropBear.dot,82.35294117647058,SPY-H,285687
592,DropBear.dot,88.23529411764706,SPY-H,302666
592,DropBear.dot,94.11764705882352,SPY-H,395106
592,DropBear.dot,100.0,SPY-H,436820
