,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],12,0.8864596553375266,1950028.5,Fixed,TLS,11.11111111111111
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],72,0.8864596553375266,1950028.5,Fixed,TLS,22.22222222222222
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],1361,0.8864596553375266,1950028.5,Fixed,TLS,33.33333333333333
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],5132,0.8864596553375266,1950028.5,Fixed,TLS,44.44444444444444
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],21921,0.8864596553375266,1950028.5,Fixed,TLS,66.66666666666666
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],57520,0.8864596553375266,1950028.5,Fixed,TLS,77.77777777777779
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],66721,0.8864596553375266,1950028.5,Fixed,TLS,88.88888888888889
12,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '8/39', '19/111', '11/77']","['1/2', '313/1252', '745/3725', '3095/16709', '5723/35560', '1138/9090', '353/2782']","[1, 2, 3, 4, 6, 7, 8, 9]",2866028,119,460,11368,69120,8,51,OK,[ 12  35  48  60  81  89 108 119],[ 12  70 107 153 233 272 383 460],"[0, 1, 314, 1059, 4154, 9877, 11015, 11368]","[0, 2, 1254, 4979, 21688, 57248, 66338, 69120]",69580,11487,81067,579,80488,[   12    36   362  1119  4235  9966 11123 11487],69580,0.8864596553375266,1950028.5,Fixed,TLS,100.0
34,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '9/44', '22/129', '11/78']","['1/2', '313/1252', '1033/4877', '3098/16740', '1268/6900', '1144/7993', '337/2368']","[1, 2, 3, 4, 6, 7, 8, 9]",865552,123,484,7194,40132,8,68,OK,[ 12  35  48  60  81  90 112 123],[ 12  70 107 153 233 277 406 484],"[0, 1, 314, 1347, 4445, 5713, 6857, 7194]","[0, 2, 1254, 6131, 22871, 29771, 37764, 40132]",40616,7317,47933,607,47326,[  12   36  362 1407 4526 5803 6969 7317],12,0.9243330125657225,2017031.0,Fixed,TLS,11.11111111111111
34,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '13/37', '12/46', '21/80', '9/44', '22/129', '11/78']","['1/2', '313/1252', '1033/4877', '3098/16740', '1268/6900', '1144/7993', '337/2368']","[1, 2, 3, 4, 6, 7, 8, 9]",865552,123,484,7194,40132,8,68,OK,[ 12  35  48  60  81  90 112 123],[ 12  70 107 153 233 277 406 484],"[0, 1, 314, 1347, 4445, 5713, 6857, 7194]","[0, 2, 1254, 6131, 22871, 29771, 37764, 40132]",40616,7317,47933,607,47326,[  12   36  362 1407 4526 5803 6969 7317],72,0.9243330125657225,2017031.0,Fixed,TLS,22.22222222222222
