,SUL name,HypSizePercent,CTT,Total cost
120,GnuTLS_3.3.12_client_regular.dot,14.285714285714285,Hsi,16
120,GnuTLS_3.3.12_client_regular.dot,28.57142857142857,Hsi,72
120,GnuTLS_3.3.12_client_regular.dot,57.14285714285714,Hsi,156
120,GnuTLS_3.3.12_client_regular.dot,71.42857142857143,Hsi,1502
120,GnuTLS_3.3.12_client_regular.dot,100.0,Hsi,4021
216,GnuTLS_3.3.12_client_regular.dot,14.285714285714285,HadsInt,16
216,GnuTLS_3.3.12_client_regular.dot,28.57142857142857,HadsInt,72
216,GnuTLS_3.3.12_client_regular.dot,57.14285714285714,HadsInt,156
216,GnuTLS_3.3.12_client_regular.dot,71.42857142857143,HadsInt,1502
216,GnuTLS_3.3.12_client_regular.dot,100.0,HadsInt,4043
242,GnuTLS_3.3.12_client_regular.dot,14.285714285714285,Wp,16
242,GnuTLS_3.3.12_client_regular.dot,28.57142857142857,Wp,72
242,GnuTLS_3.3.12_client_regular.dot,57.14285714285714,Wp,156
242,GnuTLS_3.3.12_client_regular.dot,71.42857142857143,Wp,1502
242,GnuTLS_3.3.12_client_regular.dot,100.0,Wp,4031
247,GnuTLS_3.3.12_client_regular.dot,14.285714285714285,W,16
247,GnuTLS_3.3.12_client_regular.dot,28.57142857142857,W,72
247,GnuTLS_3.3.12_client_regular.dot,57.14285714285714,W,156
247,GnuTLS_3.3.12_client_regular.dot,71.42857142857143,W,2798
247,GnuTLS_3.3.12_client_regular.dot,100.0,W,11155
406,GnuTLS_3.3.12_client_regular.dot,14.285714285714285,H,16
406,GnuTLS_3.3.12_client_regular.dot,28.57142857142857,H,72
406,GnuTLS_3.3.12_client_regular.dot,57.14285714285714,H,295
406,GnuTLS_3.3.12_client_regular.dot,71.42857142857143,H,5876
406,GnuTLS_3.3.12_client_regular.dot,100.0,H,8294
559,GnuTLS_3.3.12_client_regular.dot,14.285714285714285,SPY,16
559,GnuTLS_3.3.12_client_regular.dot,28.57142857142857,SPY,72
559,GnuTLS_3.3.12_client_regular.dot,57.14285714285714,SPY,376
559,GnuTLS_3.3.12_client_regular.dot,71.42857142857143,SPY,2471
559,GnuTLS_3.3.12_client_regular.dot,100.0,SPY,5290
594,GnuTLS_3.3.12_client_regular.dot,14.285714285714285,SPYH,16
594,GnuTLS_3.3.12_client_regular.dot,28.57142857142857,SPYH,72
594,GnuTLS_3.3.12_client_regular.dot,57.14285714285714,SPYH,170
594,GnuTLS_3.3.12_client_regular.dot,71.42857142857143,SPYH,5050
594,GnuTLS_3.3.12_client_regular.dot,100.0,SPYH,7650
