,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
27,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '31/168']","['1/2', '145/580', '146/585', '70/284']","[1, 2, 3, 6, 9]",92356,129,483,362,1451,5,27,OK,[ 12  35  51  98 129],[ 12  70 116 315 483],"[0, 1, 146, 292, 362]","[0, 2, 582, 1167, 1451]",1934,491,2425,612,1813,[ 12  36 197 390 491],12,0.9790714007763636,517982.0,Fixed,TLS,11.11111111111111
27,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '31/168']","['1/2', '145/580', '146/585', '70/284']","[1, 2, 3, 6, 9]",92356,129,483,362,1451,5,27,OK,[ 12  35  51  98 129],[ 12  70 116 315 483],"[0, 1, 146, 292, 362]","[0, 2, 582, 1167, 1451]",1934,491,2425,612,1813,[ 12  36 197 390 491],72,0.9790714007763636,517982.0,Fixed,TLS,22.22222222222222
27,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '31/168']","['1/2', '145/580', '146/585', '70/284']","[1, 2, 3, 6, 9]",92356,129,483,362,1451,5,27,OK,[ 12  35  51  98 129],[ 12  70 116 315 483],"[0, 1, 146, 292, 362]","[0, 2, 582, 1167, 1451]",1934,491,2425,612,1813,[ 12  36 197 390 491],698,0.9790714007763636,517982.0,Fixed,TLS,33.33333333333333
27,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '31/168']","['1/2', '145/580', '146/585', '70/284']","[1, 2, 3, 6, 9]",92356,129,483,362,1451,5,27,OK,[ 12  35  51  98 129],[ 12  70 116 315 483],"[0, 1, 146, 292, 362]","[0, 2, 582, 1167, 1451]",1934,491,2425,612,1813,[ 12  36 197 390 491],1482,0.9790714007763636,517982.0,Fixed,TLS,66.66666666666666
27,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '31/168']","['1/2', '145/580', '146/585', '70/284']","[1, 2, 3, 6, 9]",92356,129,483,362,1451,5,27,OK,[ 12  35  51  98 129],[ 12  70 116 315 483],"[0, 1, 146, 292, 362]","[0, 2, 582, 1167, 1451]",1934,491,2425,612,1813,[ 12  36 197 390 491],1934,0.9790714007763636,517982.0,Fixed,TLS,100.0
184,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '32/171']","['1/2', '145/580', '1/4', '67/268']","[1, 2, 3, 6, 9]",84800,130,486,214,854,5,13,OK,[ 12  35  51  98 130],[ 12  70 116 315 486],"[0, 1, 146, 147, 214]","[0, 2, 582, 586, 854]",1340,344,1684,616,1068,[ 12  36 197 245 344],12,0.9857625542173248,520616.0,Fixed,TLS,11.11111111111111
184,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '32/171']","['1/2', '145/580', '1/4', '67/268']","[1, 2, 3, 6, 9]",84800,130,486,214,854,5,13,OK,[ 12  35  51  98 130],[ 12  70 116 315 486],"[0, 1, 146, 147, 214]","[0, 2, 582, 586, 854]",1340,344,1684,616,1068,[ 12  36 197 245 344],72,0.9857625542173248,520616.0,Fixed,TLS,22.22222222222222
184,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '32/171']","['1/2', '145/580', '1/4', '67/268']","[1, 2, 3, 6, 9]",84800,130,486,214,854,5,13,OK,[ 12  35  51  98 130],[ 12  70 116 315 486],"[0, 1, 146, 147, 214]","[0, 2, 582, 586, 854]",1340,344,1684,616,1068,[ 12  36 197 245 344],698,0.9857625542173248,520616.0,Fixed,TLS,33.33333333333333
184,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '32/171']","['1/2', '145/580', '1/4', '67/268']","[1, 2, 3, 6, 9]",84800,130,486,214,854,5,13,OK,[ 12  35  51  98 130],[ 12  70 116 315 486],"[0, 1, 146, 147, 214]","[0, 2, 582, 586, 854]",1340,344,1684,616,1068,[ 12  36 197 245 344],901,0.9857625542173248,520616.0,Fixed,TLS,66.66666666666666
184,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '32/171']","['1/2', '145/580', '1/4', '67/268']","[1, 2, 3, 6, 9]",84800,130,486,214,854,5,13,OK,[ 12  35  51  98 130],[ 12  70 116 315 486],"[0, 1, 146, 147, 214]","[0, 2, 582, 586, 854]",1340,344,1684,616,1068,[ 12  36 197 245 344],1340,0.9857625542173248,520616.0,Fixed,TLS,100.0
271,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '16/46', '47/199', '31/168']","['1/2', '145/580', '146/585', '70/284']","[1, 2, 3, 6, 9]",92356,129,483,362,1451,5,18,OK,[ 12  35  51  98 129],[ 12  70 116 315 483],"[0, 1, 146, 292, 362]","[0, 2, 582, 1167, 1451]",1934,491,2425,612,1813,[ 12  36 197 390 491],12,0.9790714007763636,517982.0,Fixed,TLS,11.11111111111111
