,SUL name,HypSizePercent,CTT,Total cost
228,GnuTLS_3.3.12_server_regular.dot,14.285714285714285,W,16
228,GnuTLS_3.3.12_server_regular.dot,28.57142857142857,W,72
228,GnuTLS_3.3.12_server_regular.dot,57.14285714285714,W,156
228,GnuTLS_3.3.12_server_regular.dot,71.42857142857143,W,2798
228,GnuTLS_3.3.12_server_regular.dot,100.0,W,11155
299,GnuTLS_3.3.12_server_regular.dot,14.285714285714285,Wp,16
299,GnuTLS_3.3.12_server_regular.dot,28.57142857142857,Wp,72
299,GnuTLS_3.3.12_server_regular.dot,57.14285714285714,Wp,156
299,GnuTLS_3.3.12_server_regular.dot,71.42857142857143,Wp,1502
299,GnuTLS_3.3.12_server_regular.dot,100.0,Wp,4031
324,GnuTLS_3.3.12_server_regular.dot,14.285714285714285,HSI,16
324,GnuTLS_3.3.12_server_regular.dot,28.57142857142857,HSI,72
324,GnuTLS_3.3.12_server_regular.dot,57.14285714285714,HSI,156
324,GnuTLS_3.3.12_server_regular.dot,71.42857142857143,HSI,1502
324,GnuTLS_3.3.12_server_regular.dot,100.0,HSI,4021
338,GnuTLS_3.3.12_server_regular.dot,14.285714285714285,H-ADS,16
338,GnuTLS_3.3.12_server_regular.dot,28.57142857142857,H-ADS,72
338,GnuTLS_3.3.12_server_regular.dot,57.14285714285714,H-ADS,156
338,GnuTLS_3.3.12_server_regular.dot,71.42857142857143,H-ADS,1502
338,GnuTLS_3.3.12_server_regular.dot,100.0,H-ADS,4043
393,GnuTLS_3.3.12_server_regular.dot,14.285714285714285,H,16
393,GnuTLS_3.3.12_server_regular.dot,28.57142857142857,H,72
393,GnuTLS_3.3.12_server_regular.dot,57.14285714285714,H,295
393,GnuTLS_3.3.12_server_regular.dot,71.42857142857143,H,5876
393,GnuTLS_3.3.12_server_regular.dot,100.0,H,8294
521,GnuTLS_3.3.12_server_regular.dot,14.285714285714285,SPY-H,16
521,GnuTLS_3.3.12_server_regular.dot,28.57142857142857,SPY-H,72
521,GnuTLS_3.3.12_server_regular.dot,57.14285714285714,SPY-H,170
521,GnuTLS_3.3.12_server_regular.dot,71.42857142857143,SPY-H,5050
521,GnuTLS_3.3.12_server_regular.dot,100.0,SPY-H,7650
614,GnuTLS_3.3.12_server_regular.dot,14.285714285714285,SPY,16
614,GnuTLS_3.3.12_server_regular.dot,28.57142857142857,SPY,72
614,GnuTLS_3.3.12_server_regular.dot,57.14285714285714,SPY,376
614,GnuTLS_3.3.12_server_regular.dot,71.42857142857143,SPY,2471
614,GnuTLS_3.3.12_server_regular.dot,100.0,SPY,5290
