,SUL name,HypSizePercent,CTT,Total cost
7,GnuTLS_3.3.8_client_full.dot,6.666666666666667,Wp,24
7,GnuTLS_3.3.8_client_full.dot,13.333333333333334,Wp,108
7,GnuTLS_3.3.8_client_full.dot,20.0,Wp,1032
7,GnuTLS_3.3.8_client_full.dot,26.666666666666668,Wp,3035
7,GnuTLS_3.3.8_client_full.dot,40.0,Wp,26289
7,GnuTLS_3.3.8_client_full.dot,46.666666666666664,Wp,65024
7,GnuTLS_3.3.8_client_full.dot,53.333333333333336,Wp,66037
7,GnuTLS_3.3.8_client_full.dot,66.66666666666666,Wp,82423
7,GnuTLS_3.3.8_client_full.dot,80.0,Wp,82626
7,GnuTLS_3.3.8_client_full.dot,93.33333333333333,Wp,84454
7,GnuTLS_3.3.8_client_full.dot,100.0,Wp,99271
8,GnuTLS_3.3.8_client_full.dot,6.666666666666667,HSI,24
8,GnuTLS_3.3.8_client_full.dot,13.333333333333334,HSI,108
8,GnuTLS_3.3.8_client_full.dot,20.0,HSI,1032
8,GnuTLS_3.3.8_client_full.dot,26.666666666666668,HSI,3841
8,GnuTLS_3.3.8_client_full.dot,40.0,HSI,27028
8,GnuTLS_3.3.8_client_full.dot,46.666666666666664,HSI,33495
8,GnuTLS_3.3.8_client_full.dot,53.333333333333336,HSI,34963
8,GnuTLS_3.3.8_client_full.dot,66.66666666666666,HSI,48306
8,GnuTLS_3.3.8_client_full.dot,80.0,HSI,49010
8,GnuTLS_3.3.8_client_full.dot,93.33333333333333,HSI,49095
8,GnuTLS_3.3.8_client_full.dot,100.0,HSI,61186
257,GnuTLS_3.3.8_client_full.dot,6.666666666666667,H-ADS,24
257,GnuTLS_3.3.8_client_full.dot,13.333333333333334,H-ADS,108
257,GnuTLS_3.3.8_client_full.dot,20.0,H-ADS,1032
257,GnuTLS_3.3.8_client_full.dot,26.666666666666668,H-ADS,3841
257,GnuTLS_3.3.8_client_full.dot,40.0,H-ADS,27292
257,GnuTLS_3.3.8_client_full.dot,46.666666666666664,H-ADS,33995
257,GnuTLS_3.3.8_client_full.dot,53.333333333333336,H-ADS,35586
257,GnuTLS_3.3.8_client_full.dot,66.66666666666666,H-ADS,49815
257,GnuTLS_3.3.8_client_full.dot,80.0,H-ADS,50646
257,GnuTLS_3.3.8_client_full.dot,93.33333333333333,H-ADS,50737
257,GnuTLS_3.3.8_client_full.dot,100.0,H-ADS,62972
291,GnuTLS_3.3.8_client_full.dot,6.666666666666667,W,24
291,GnuTLS_3.3.8_client_full.dot,13.333333333333334,W,108
291,GnuTLS_3.3.8_client_full.dot,20.0,W,1032
291,GnuTLS_3.3.8_client_full.dot,26.666666666666668,W,5617
291,GnuTLS_3.3.8_client_full.dot,40.0,W,76922
291,GnuTLS_3.3.8_client_full.dot,46.666666666666664,W,149346
291,GnuTLS_3.3.8_client_full.dot,53.333333333333336,W,182481
291,GnuTLS_3.3.8_client_full.dot,66.66666666666666,W,279305
291,GnuTLS_3.3.8_client_full.dot,80.0,W,310733
291,GnuTLS_3.3.8_client_full.dot,93.33333333333333,W,313672
291,GnuTLS_3.3.8_client_full.dot,100.0,W,359114
450,GnuTLS_3.3.8_client_full.dot,6.666666666666667,H,24
450,GnuTLS_3.3.8_client_full.dot,13.333333333333334,H,108
450,GnuTLS_3.3.8_client_full.dot,20.0,H,742
450,GnuTLS_3.3.8_client_full.dot,33.33333333333333,H,7362
450,GnuTLS_3.3.8_client_full.dot,40.0,H,19521
450,GnuTLS_3.3.8_client_full.dot,46.666666666666664,H,50965
450,GnuTLS_3.3.8_client_full.dot,53.333333333333336,H,51963
450,GnuTLS_3.3.8_client_full.dot,66.66666666666666,H,72809
450,GnuTLS_3.3.8_client_full.dot,80.0,H,72983
450,GnuTLS_3.3.8_client_full.dot,93.33333333333333,H,73043
450,GnuTLS_3.3.8_client_full.dot,100.0,H,97331
464,GnuTLS_3.3.8_client_full.dot,6.666666666666667,SPY,24
464,GnuTLS_3.3.8_client_full.dot,13.333333333333334,SPY,108
464,GnuTLS_3.3.8_client_full.dot,20.0,SPY,2725
464,GnuTLS_3.3.8_client_full.dot,33.33333333333333,SPY,3638
464,GnuTLS_3.3.8_client_full.dot,40.0,SPY,7188
464,GnuTLS_3.3.8_client_full.dot,46.666666666666664,SPY,37016
464,GnuTLS_3.3.8_client_full.dot,53.333333333333336,SPY,37745
464,GnuTLS_3.3.8_client_full.dot,66.66666666666666,SPY,57543
464,GnuTLS_3.3.8_client_full.dot,80.0,SPY,92005
464,GnuTLS_3.3.8_client_full.dot,93.33333333333333,SPY,119447
464,GnuTLS_3.3.8_client_full.dot,100.0,SPY,191830
566,GnuTLS_3.3.8_client_full.dot,6.666666666666667,SPY-H,24
566,GnuTLS_3.3.8_client_full.dot,13.333333333333334,SPY-H,108
566,GnuTLS_3.3.8_client_full.dot,20.0,SPY-H,447
566,GnuTLS_3.3.8_client_full.dot,33.33333333333333,SPY-H,6182
566,GnuTLS_3.3.8_client_full.dot,40.0,SPY-H,17053
566,GnuTLS_3.3.8_client_full.dot,46.666666666666664,SPY-H,46096
566,GnuTLS_3.3.8_client_full.dot,53.333333333333336,SPY-H,49764
566,GnuTLS_3.3.8_client_full.dot,66.66666666666666,SPY-H,64547
566,GnuTLS_3.3.8_client_full.dot,73.33333333333333,SPY-H,70775
566,GnuTLS_3.3.8_client_full.dot,86.66666666666667,SPY-H,71264
566,GnuTLS_3.3.8_client_full.dot,100.0,SPY-H,74245
