,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],8,0.9138166643933711,1083880.5,Fixed,TLS,9.090909090909092
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],48,0.9138166643933711,1083880.5,Fixed,TLS,18.181818181818183
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],1314,0.9138166643933711,1083880.5,Fixed,TLS,27.27272727272727
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],3933,0.9138166643933711,1083880.5,Fixed,TLS,36.36363636363637
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],4748,0.9138166643933711,1083880.5,Fixed,TLS,63.63636363636363
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],15030,0.9138166643933711,1083880.5,Fixed,TLS,72.72727272727273
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],22131,0.9138166643933711,1083880.5,Fixed,TLS,81.81818181818183
6,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '14/89', '18/98', '7/52']","['1/2', '308/1232', '591/2583', '113/660', '1265/10193', '934/7003', '2/14']","[1, 2, 3, 4, 7, 8, 9, 11]",749800,108,510,3214,21687,8,81,OK,[  8  23  35  44  69  83 101 108],[  8  46  80 116 271 360 458 510],"[0, 1, 309, 900, 1013, 2278, 3212, 3214]","[0, 2, 1234, 3817, 4477, 14670, 21673, 21687]",22197,3322,25519,618,24901,[   8   24  344  944 1082 2361 3313 3322],22197,0.9138166643933711,1083880.5,Fixed,TLS,100.0
109,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '10/62', '13/70', '6/40']","['1/2', '308/1232', '295/1381', '91/526', '1277/10443', '3037/24192', '372/2232']","[1, 2, 3, 4, 7, 8, 9, 11]",868448,98,443,5381,40008,8,23,OK,[ 8 23 35 44 69 79 92 98],[  8  46  80 116 271 333 403 443],"[0, 1, 309, 604, 695, 1972, 5009, 5381]","[0, 2, 1234, 2615, 3141, 13584, 37776, 40008]",40451,5479,45930,541,45389,[   8   24  344  648  764 2051 5101 5479],8,0.8744036861488099,1047743.5,Fixed,TLS,9.090909090909092
109,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,GnuTLS_3.3.8_client_regular.dot,11,8,Compressed,"['8/8', '15/38', '12/34', '9/36', '25/155', '10/62', '13/70', '6/40']","['1/2', '308/1232', '295/1381', '91/526', '1277/10443', '3037/24192', '372/2232']","[1, 2, 3, 4, 7, 8, 9, 11]",868448,98,443,5381,40008,8,23,OK,[ 8 23 35 44 69 79 92 98],[  8  46  80 116 271 333 403 443],"[0, 1, 309, 604, 695, 1972, 5009, 5381]","[0, 2, 1234, 2615, 3141, 13584, 37776, 40008]",40451,5479,45930,541,45389,[   8   24  344  648  764 2051 5101 5479],48,0.8744036861488099,1047743.5,Fixed,TLS,18.181818181818183
