,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],8,0.715702798228149,983115.0,Fixed,TLS,8.333333333333332
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],48,0.715702798228149,983115.0,Fixed,TLS,16.666666666666664
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],122,0.715702798228149,983115.0,Fixed,TLS,33.33333333333333
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],2337,0.715702798228149,983115.0,Fixed,TLS,41.66666666666667
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],9187,0.715702798228149,983115.0,Fixed,TLS,50.0
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],12534,0.715702798228149,983115.0,Fixed,TLS,66.66666666666666
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],71223,0.715702798228149,983115.0,Fixed,TLS,75.0
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],74481,0.715702798228149,983115.0,Fixed,TLS,83.33333333333334
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],77823,0.715702798228149,983115.0,Fixed,TLS,91.66666666666666
17,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '21/70', '13/50', '11/52', '25/131', '17/101', '14/72', '3/20', '19/84']","['1/2', '1/4', '433/2165', '1165/6798', '568/3216', '8369/58588', '563/3186', '502/3322', '4041/30078']","[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",2790396,146,626,15643,107359,10,69,OK,[  8  23  44  57  68  93 110 124 127 146],[  8  46 116 166 218 349 450 522 542 626],"[0, 1, 2, 435, 1600, 2168, 10537, 11100, 11602, 15643]","[0, 2, 6, 2171, 8969, 12185, 70773, 73959, 77281, 107359]",107985,15789,123774,772,123002,[    8    24    46   492  1668  2261 10647 11224 11729 15789],107985,0.715702798228149,983115.0,Fixed,TLS,100.0
