,SUL name,HypSizePercent,CTT,Total cost
18,NSS_3.17.4_client_full.dot,9.090909090909092,W,24
18,NSS_3.17.4_client_full.dot,18.181818181818183,W,108
18,NSS_3.17.4_client_full.dot,27.27272727272727,W,1716
18,NSS_3.17.4_client_full.dot,36.36363636363637,W,12145
18,NSS_3.17.4_client_full.dot,45.45454545454545,W,27542
18,NSS_3.17.4_client_full.dot,63.63636363636363,W,154698
18,NSS_3.17.4_client_full.dot,100.0,W,270696
104,NSS_3.17.4_client_full.dot,9.090909090909092,HSI,24
104,NSS_3.17.4_client_full.dot,18.181818181818183,HSI,108
104,NSS_3.17.4_client_full.dot,27.27272727272727,HSI,1716
104,NSS_3.17.4_client_full.dot,36.36363636363637,HSI,7681
104,NSS_3.17.4_client_full.dot,45.45454545454545,HSI,16694
104,NSS_3.17.4_client_full.dot,63.63636363636363,HSI,46330
104,NSS_3.17.4_client_full.dot,81.81818181818183,HSI,92647
104,NSS_3.17.4_client_full.dot,100.0,HSI,111722
170,NSS_3.17.4_client_full.dot,9.090909090909092,H-ADS,24
170,NSS_3.17.4_client_full.dot,18.181818181818183,H-ADS,108
170,NSS_3.17.4_client_full.dot,27.27272727272727,H-ADS,1716
170,NSS_3.17.4_client_full.dot,36.36363636363637,H-ADS,7681
170,NSS_3.17.4_client_full.dot,45.45454545454545,H-ADS,16694
170,NSS_3.17.4_client_full.dot,63.63636363636363,H-ADS,46330
170,NSS_3.17.4_client_full.dot,81.81818181818183,H-ADS,92647
170,NSS_3.17.4_client_full.dot,100.0,H-ADS,111722
221,NSS_3.17.4_client_full.dot,9.090909090909092,Wp,24
221,NSS_3.17.4_client_full.dot,18.181818181818183,Wp,108
221,NSS_3.17.4_client_full.dot,27.27272727272727,Wp,1716
221,NSS_3.17.4_client_full.dot,36.36363636363637,Wp,6241
221,NSS_3.17.4_client_full.dot,45.45454545454545,Wp,9494
221,NSS_3.17.4_client_full.dot,72.72727272727273,Wp,39242
221,NSS_3.17.4_client_full.dot,100.0,Wp,96389
438,NSS_3.17.4_client_full.dot,9.090909090909092,H,24
438,NSS_3.17.4_client_full.dot,18.181818181818183,H,108
438,NSS_3.17.4_client_full.dot,27.27272727272727,H,6144
438,NSS_3.17.4_client_full.dot,36.36363636363637,H,7428
438,NSS_3.17.4_client_full.dot,54.54545454545454,H,7506
438,NSS_3.17.4_client_full.dot,63.63636363636363,H,39683
438,NSS_3.17.4_client_full.dot,100.0,H,51942
484,NSS_3.17.4_client_full.dot,9.090909090909092,SPY-H,24
484,NSS_3.17.4_client_full.dot,18.181818181818183,SPY-H,108
484,NSS_3.17.4_client_full.dot,27.27272727272727,SPY-H,5876
484,NSS_3.17.4_client_full.dot,36.36363636363637,SPY-H,7315
484,NSS_3.17.4_client_full.dot,45.45454545454545,SPY-H,29891
484,NSS_3.17.4_client_full.dot,63.63636363636363,SPY-H,39075
484,NSS_3.17.4_client_full.dot,81.81818181818183,SPY-H,51626
484,NSS_3.17.4_client_full.dot,100.0,SPY-H,85579
557,NSS_3.17.4_client_full.dot,9.090909090909092,SPY,24
557,NSS_3.17.4_client_full.dot,18.181818181818183,SPY,108
557,NSS_3.17.4_client_full.dot,27.27272727272727,SPY,3853
557,NSS_3.17.4_client_full.dot,36.36363636363637,SPY,4343
557,NSS_3.17.4_client_full.dot,45.45454545454545,SPY,19415
557,NSS_3.17.4_client_full.dot,63.63636363636363,SPY,26434
557,NSS_3.17.4_client_full.dot,72.72727272727273,SPY,41061
557,NSS_3.17.4_client_full.dot,100.0,SPY,61021
