,SUL name,HypSizePercent,CTT,Total cost
15,NSS_3.17.4_client_regular.dot,14.285714285714285,Hsi,16
15,NSS_3.17.4_client_regular.dot,28.57142857142857,Hsi,72
15,NSS_3.17.4_client_regular.dot,42.857142857142854,Hsi,2077
15,NSS_3.17.4_client_regular.dot,57.14285714285714,Hsi,5243
15,NSS_3.17.4_client_regular.dot,100.0,Hsi,5981
193,NSS_3.17.4_client_regular.dot,14.285714285714285,Wp,16
193,NSS_3.17.4_client_regular.dot,28.57142857142857,Wp,72
193,NSS_3.17.4_client_regular.dot,42.857142857142854,Wp,2077
193,NSS_3.17.4_client_regular.dot,57.14285714285714,Wp,3323
193,NSS_3.17.4_client_regular.dot,100.0,Wp,4061
196,NSS_3.17.4_client_regular.dot,14.285714285714285,HadsInt,16
196,NSS_3.17.4_client_regular.dot,28.57142857142857,HadsInt,72
196,NSS_3.17.4_client_regular.dot,42.857142857142854,HadsInt,2077
196,NSS_3.17.4_client_regular.dot,57.14285714285714,HadsInt,5243
196,NSS_3.17.4_client_regular.dot,100.0,HadsInt,5981
226,NSS_3.17.4_client_regular.dot,14.285714285714285,W,16
226,NSS_3.17.4_client_regular.dot,28.57142857142857,W,72
226,NSS_3.17.4_client_regular.dot,42.857142857142854,W,2077
226,NSS_3.17.4_client_regular.dot,57.14285714285714,W,6443
226,NSS_3.17.4_client_regular.dot,100.0,W,11373
423,NSS_3.17.4_client_regular.dot,14.285714285714285,H,16
423,NSS_3.17.4_client_regular.dot,28.57142857142857,H,72
423,NSS_3.17.4_client_regular.dot,42.857142857142854,H,2209
423,NSS_3.17.4_client_regular.dot,57.14285714285714,H,7505
423,NSS_3.17.4_client_regular.dot,71.42857142857143,H,11128
423,NSS_3.17.4_client_regular.dot,100.0,H,12778
467,NSS_3.17.4_client_regular.dot,14.285714285714285,SPY,16
467,NSS_3.17.4_client_regular.dot,28.57142857142857,SPY,72
467,NSS_3.17.4_client_regular.dot,42.857142857142854,SPY,2127
467,NSS_3.17.4_client_regular.dot,57.14285714285714,SPY,4429
467,NSS_3.17.4_client_regular.dot,71.42857142857143,SPY,8255
467,NSS_3.17.4_client_regular.dot,100.0,SPY,9929
507,NSS_3.17.4_client_regular.dot,14.285714285714285,SPYH,16
507,NSS_3.17.4_client_regular.dot,28.57142857142857,SPYH,72
507,NSS_3.17.4_client_regular.dot,42.857142857142854,SPYH,1995
507,NSS_3.17.4_client_regular.dot,57.14285714285714,SPYH,6912
507,NSS_3.17.4_client_regular.dot,71.42857142857143,SPYH,10829
507,NSS_3.17.4_client_regular.dot,100.0,SPYH,12550
