,SUL name,HypSizePercent,CTT,Total cost
82,NSS_3.17.4_server_regular.dot,12.5,W,16
82,NSS_3.17.4_server_regular.dot,37.5,W,112
82,NSS_3.17.4_server_regular.dot,50.0,W,1439
82,NSS_3.17.4_server_regular.dot,62.5,W,7344
82,NSS_3.17.4_server_regular.dot,87.5,W,14113
82,NSS_3.17.4_server_regular.dot,100.0,W,76455
296,NSS_3.17.4_server_regular.dot,12.5,HadsInt,16
296,NSS_3.17.4_server_regular.dot,37.5,HadsInt,112
296,NSS_3.17.4_server_regular.dot,50.0,HadsInt,1439
296,NSS_3.17.4_server_regular.dot,62.5,HadsInt,3840
296,NSS_3.17.4_server_regular.dot,87.5,HadsInt,8433
296,NSS_3.17.4_server_regular.dot,100.0,HadsInt,22967
321,NSS_3.17.4_server_regular.dot,12.5,Wp,16
321,NSS_3.17.4_server_regular.dot,37.5,Wp,112
321,NSS_3.17.4_server_regular.dot,50.0,Wp,1439
321,NSS_3.17.4_server_regular.dot,62.5,Wp,3840
321,NSS_3.17.4_server_regular.dot,87.5,Wp,5041
321,NSS_3.17.4_server_regular.dot,100.0,Wp,19575
326,NSS_3.17.4_server_regular.dot,12.5,Hsi,16
326,NSS_3.17.4_server_regular.dot,37.5,Hsi,112
326,NSS_3.17.4_server_regular.dot,50.0,Hsi,1439
326,NSS_3.17.4_server_regular.dot,62.5,Hsi,3840
326,NSS_3.17.4_server_regular.dot,87.5,Hsi,8433
326,NSS_3.17.4_server_regular.dot,100.0,Hsi,22967
401,NSS_3.17.4_server_regular.dot,12.5,H,16
401,NSS_3.17.4_server_regular.dot,37.5,H,112
401,NSS_3.17.4_server_regular.dot,50.0,H,200
401,NSS_3.17.4_server_regular.dot,62.5,H,7010
401,NSS_3.17.4_server_regular.dot,75.0,H,12803
401,NSS_3.17.4_server_regular.dot,100.0,H,15357
471,NSS_3.17.4_server_regular.dot,12.5,SPYH,16
471,NSS_3.17.4_server_regular.dot,37.5,SPYH,112
471,NSS_3.17.4_server_regular.dot,50.0,SPYH,189
471,NSS_3.17.4_server_regular.dot,62.5,SPYH,6302
471,NSS_3.17.4_server_regular.dot,75.0,SPYH,11899
471,NSS_3.17.4_server_regular.dot,100.0,SPYH,16125
612,NSS_3.17.4_server_regular.dot,12.5,SPY,16
612,NSS_3.17.4_server_regular.dot,37.5,SPY,112
612,NSS_3.17.4_server_regular.dot,50.0,SPY,199
612,NSS_3.17.4_server_regular.dot,62.5,SPY,6103
612,NSS_3.17.4_server_regular.dot,75.0,SPY,8110
612,NSS_3.17.4_server_regular.dot,100.0,SPY,10898
