,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
202,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '406/2342', '1951/14375']","[1, 2, 5, 6, 10, 11]",385244,138,616,2538,17792,6,22,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 587, 2538]","[0, 8, 13, 1075, 3417, 17792]",18408,2676,21084,754,20330,[   7   21   69  255  709 2676],7,0.9488488415579613,690740.5,Fixed,TLS,9.090909090909092
202,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '406/2342', '1951/14375']","[1, 2, 5, 6, 10, 11]",385244,138,616,2538,17792,6,22,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 587, 2538]","[0, 8, 13, 1075, 3417, 17792]",18408,2676,21084,754,20330,[   7   21   69  255  709 2676],42,0.9488488415579613,690740.5,Fixed,TLS,18.181818181818183
202,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '406/2342', '1951/14375']","[1, 2, 5, 6, 10, 11]",385244,138,616,2538,17792,6,22,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 587, 2538]","[0, 8, 13, 1075, 3417, 17792]",18408,2676,21084,754,20330,[   7   21   69  255  709 2676],252,0.9488488415579613,690740.5,Fixed,TLS,45.45454545454545
202,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '406/2342', '1951/14375']","[1, 2, 5, 6, 10, 11]",385244,138,616,2538,17792,6,22,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 587, 2538]","[0, 8, 13, 1075, 3417, 17792]",18408,2676,21084,754,20330,[   7   21   69  255  709 2676],1371,0.9488488415579613,690740.5,Fixed,TLS,54.54545454545454
202,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '406/2342', '1951/14375']","[1, 2, 5, 6, 10, 11]",385244,138,616,2538,17792,6,22,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 587, 2538]","[0, 8, 13, 1075, 3417, 17792]",18408,2676,21084,754,20330,[   7   21   69  255  709 2676],3985,0.9488488415579613,690740.5,Fixed,TLS,90.9090909090909
202,"L# (SepSeq, SepSeq)",81,Hsi,Hsi,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '406/2342', '1951/14375']","[1, 2, 5, 6, 10, 11]",385244,138,616,2538,17792,6,22,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 587, 2538]","[0, 8, 13, 1075, 3417, 17792]",18408,2676,21084,754,20330,[   7   21   69  255  709 2676],18408,0.9488488415579613,690740.5,Fixed,TLS,100.0
307,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '11/63', '46/263', '16/48']","['4/8', '1/5', '517/3102', '1733/10006', '6830/51169']","[1, 2, 5, 6, 10, 11]",1449616,137,613,9085,64290,6,31,OK,[  7  17  64  75 121 137],[  7  34 239 302 565 613],"[0, 4, 5, 522, 2255, 9085]","[0, 8, 13, 3115, 13121, 64290]",64903,9222,74125,750,73375,[   7   21   69  597 2376 9222],7,0.8265054283805343,638125.5,Fixed,TLS,9.090909090909092
307,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '11/63', '46/263', '16/48']","['4/8', '1/5', '517/3102', '1733/10006', '6830/51169']","[1, 2, 5, 6, 10, 11]",1449616,137,613,9085,64290,6,31,OK,[  7  17  64  75 121 137],[  7  34 239 302 565 613],"[0, 4, 5, 522, 2255, 9085]","[0, 8, 13, 3115, 13121, 64290]",64903,9222,74125,750,73375,[   7   21   69  597 2376 9222],42,0.8265054283805343,638125.5,Fixed,TLS,18.181818181818183
307,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '11/63', '46/263', '16/48']","['4/8', '1/5', '517/3102', '1733/10006', '6830/51169']","[1, 2, 5, 6, 10, 11]",1449616,137,613,9085,64290,6,31,OK,[  7  17  64  75 121 137],[  7  34 239 302 565 613],"[0, 4, 5, 522, 2255, 9085]","[0, 8, 13, 3115, 13121, 64290]",64903,9222,74125,750,73375,[   7   21   69  597 2376 9222],252,0.8265054283805343,638125.5,Fixed,TLS,45.45454545454545
307,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '11/63', '46/263', '16/48']","['4/8', '1/5', '517/3102', '1733/10006', '6830/51169']","[1, 2, 5, 6, 10, 11]",1449616,137,613,9085,64290,6,31,OK,[  7  17  64  75 121 137],[  7  34 239 302 565 613],"[0, 4, 5, 522, 2255, 9085]","[0, 8, 13, 3115, 13121, 64290]",64903,9222,74125,750,73375,[   7   21   69  597 2376 9222],3417,0.8265054283805343,638125.5,Fixed,TLS,54.54545454545454
307,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '11/63', '46/263', '16/48']","['4/8', '1/5', '517/3102', '1733/10006', '6830/51169']","[1, 2, 5, 6, 10, 11]",1449616,137,613,9085,64290,6,31,OK,[  7  17  64  75 121 137],[  7  34 239 302 565 613],"[0, 4, 5, 522, 2255, 9085]","[0, 8, 13, 3115, 13121, 64290]",64903,9222,74125,750,73375,[   7   21   69  597 2376 9222],13686,0.8265054283805343,638125.5,Fixed,TLS,90.9090909090909
307,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '11/63', '46/263', '16/48']","['4/8', '1/5', '517/3102', '1733/10006', '6830/51169']","[1, 2, 5, 6, 10, 11]",1449616,137,613,9085,64290,6,31,OK,[  7  17  64  75 121 137],[  7  34 239 302 565 613],"[0, 4, 5, 522, 2255, 9085]","[0, 8, 13, 3115, 13121, 64290]",64903,9222,74125,750,73375,[   7   21   69  597 2376 9222],64903,0.8265054283805343,638125.5,Fixed,TLS,100.0
323,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '343/2058', '789/4534', '2809/22222']","[1, 2, 5, 6, 10, 11]",731156,138,616,3946,28827,6,17,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 348, 1137, 3946]","[0, 8, 13, 2071, 6605, 28827]",29443,4084,33527,754,32773,[   7   21   69  422 1259 4084],7,0.9141355001099544,674763.0,Fixed,TLS,9.090909090909092
323,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '343/2058', '789/4534', '2809/22222']","[1, 2, 5, 6, 10, 11]",731156,138,616,3946,28827,6,17,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 348, 1137, 3946]","[0, 8, 13, 2071, 6605, 28827]",29443,4084,33527,754,32773,[   7   21   69  422 1259 4084],42,0.9141355001099544,674763.0,Fixed,TLS,18.181818181818183
323,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '343/2058', '789/4534', '2809/22222']","[1, 2, 5, 6, 10, 11]",731156,138,616,3946,28827,6,17,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 348, 1137, 3946]","[0, 8, 13, 2071, 6605, 28827]",29443,4084,33527,754,32773,[   7   21   69  422 1259 4084],252,0.9141355001099544,674763.0,Fixed,TLS,45.45454545454545
323,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '343/2058', '789/4534', '2809/22222']","[1, 2, 5, 6, 10, 11]",731156,138,616,3946,28827,6,17,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 348, 1137, 3946]","[0, 8, 13, 2071, 6605, 28827]",29443,4084,33527,754,32773,[   7   21   69  422 1259 4084],2367,0.9141355001099544,674763.0,Fixed,TLS,54.54545454545454
323,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '343/2058', '789/4534', '2809/22222']","[1, 2, 5, 6, 10, 11]",731156,138,616,3946,28827,6,17,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 348, 1137, 3946]","[0, 8, 13, 2071, 6605, 28827]",29443,4084,33527,754,32773,[   7   21   69  422 1259 4084],7173,0.9141355001099544,674763.0,Fixed,TLS,90.9090909090909
323,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '343/2058', '789/4534', '2809/22222']","[1, 2, 5, 6, 10, 11]",731156,138,616,3946,28827,6,17,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 348, 1137, 3946]","[0, 8, 13, 2071, 6605, 28827]",29443,4084,33527,754,32773,[   7   21   69  422 1259 4084],29443,0.9141355001099544,674763.0,Fixed,TLS,100.0
328,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '420/2464', '1955/14392']","[1, 2, 5, 6, 10, 11]",386212,138,616,2556,17931,6,31,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 601, 2556]","[0, 8, 13, 1075, 3539, 17931]",18547,2694,21241,754,20487,[   7   21   69  255  723 2694],7,0.9479706078861742,690366.0,Fixed,TLS,9.090909090909092
328,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '420/2464', '1955/14392']","[1, 2, 5, 6, 10, 11]",386212,138,616,2556,17931,6,31,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 601, 2556]","[0, 8, 13, 1075, 3539, 17931]",18547,2694,21241,754,20487,[   7   21   69  255  723 2694],42,0.9479706078861742,690366.0,Fixed,TLS,18.181818181818183
328,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '420/2464', '1955/14392']","[1, 2, 5, 6, 10, 11]",386212,138,616,2556,17931,6,31,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 601, 2556]","[0, 8, 13, 1075, 3539, 17931]",18547,2694,21241,754,20487,[   7   21   69  255  723 2694],252,0.9479706078861742,690366.0,Fixed,TLS,45.45454545454545
328,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '47/205', '10/57', '48/272', '16/48']","['4/8', '1/5', '176/1062', '420/2464', '1955/14392']","[1, 2, 5, 6, 10, 11]",386212,138,616,2556,17931,6,31,OK,[  7  17  64  74 122 138],[  7  34 239 296 568 616],"[0, 4, 5, 181, 601, 2556]","[0, 8, 13, 1075, 3539, 17931]",18547,2694,21241,754,20487,[   7   21   69  255  723 2694],1371,0.9479706078861742,690366.0,Fixed,TLS,54.54545454545454
