,SUL name,HypSizePercent,CTT,Total cost
35,OpenSSL_1.0.1l_client_regular.dot,16.666666666666664,W,14
35,OpenSSL_1.0.1l_client_regular.dot,33.33333333333333,W,63
35,OpenSSL_1.0.1l_client_regular.dot,50.0,W,151
35,OpenSSL_1.0.1l_client_regular.dot,66.66666666666666,W,2165
35,OpenSSL_1.0.1l_client_regular.dot,83.33333333333334,W,6559
35,OpenSSL_1.0.1l_client_regular.dot,100.0,W,15806
72,OpenSSL_1.0.1l_client_regular.dot,16.666666666666664,Wp,14
72,OpenSSL_1.0.1l_client_regular.dot,33.33333333333333,Wp,63
72,OpenSSL_1.0.1l_client_regular.dot,50.0,Wp,151
72,OpenSSL_1.0.1l_client_regular.dot,66.66666666666666,Wp,2147
72,OpenSSL_1.0.1l_client_regular.dot,83.33333333333334,Wp,4473
72,OpenSSL_1.0.1l_client_regular.dot,100.0,Wp,8175
305,OpenSSL_1.0.1l_client_regular.dot,16.666666666666664,Hsi,14
305,OpenSSL_1.0.1l_client_regular.dot,33.33333333333333,Hsi,63
305,OpenSSL_1.0.1l_client_regular.dot,50.0,Hsi,151
305,OpenSSL_1.0.1l_client_regular.dot,66.66666666666666,Hsi,1202
305,OpenSSL_1.0.1l_client_regular.dot,83.33333333333334,Hsi,2476
305,OpenSSL_1.0.1l_client_regular.dot,100.0,Hsi,4504
361,OpenSSL_1.0.1l_client_regular.dot,16.666666666666664,HadsInt,14
361,OpenSSL_1.0.1l_client_regular.dot,33.33333333333333,HadsInt,63
361,OpenSSL_1.0.1l_client_regular.dot,50.0,HadsInt,151
361,OpenSSL_1.0.1l_client_regular.dot,66.66666666666666,HadsInt,1202
361,OpenSSL_1.0.1l_client_regular.dot,83.33333333333334,HadsInt,2476
361,OpenSSL_1.0.1l_client_regular.dot,100.0,HadsInt,4504
444,OpenSSL_1.0.1l_client_regular.dot,16.666666666666664,H,14
444,OpenSSL_1.0.1l_client_regular.dot,33.33333333333333,H,63
444,OpenSSL_1.0.1l_client_regular.dot,50.0,H,159
444,OpenSSL_1.0.1l_client_regular.dot,66.66666666666666,H,3998
444,OpenSSL_1.0.1l_client_regular.dot,83.33333333333334,H,6019
444,OpenSSL_1.0.1l_client_regular.dot,100.0,H,8208
487,OpenSSL_1.0.1l_client_regular.dot,16.666666666666664,SPY,14
487,OpenSSL_1.0.1l_client_regular.dot,33.33333333333333,SPY,63
487,OpenSSL_1.0.1l_client_regular.dot,50.0,SPY,155
487,OpenSSL_1.0.1l_client_regular.dot,66.66666666666666,SPY,4310
487,OpenSSL_1.0.1l_client_regular.dot,83.33333333333334,SPY,8776
487,OpenSSL_1.0.1l_client_regular.dot,100.0,SPY,11135
525,OpenSSL_1.0.1l_client_regular.dot,16.666666666666664,SPYH,14
525,OpenSSL_1.0.1l_client_regular.dot,33.33333333333333,SPYH,63
525,OpenSSL_1.0.1l_client_regular.dot,50.0,SPYH,158
525,OpenSSL_1.0.1l_client_regular.dot,66.66666666666666,SPYH,4254
525,OpenSSL_1.0.1l_client_regular.dot,83.33333333333334,SPYH,5476
525,OpenSSL_1.0.1l_client_regular.dot,100.0,SPYH,9064
