,SUL name,HypSizePercent,CTT,Total cost
123,OpenSSL_1.0.1l_server_regular.dot,10.0,HadsInt,14
123,OpenSSL_1.0.1l_server_regular.dot,20.0,HadsInt,63
123,OpenSSL_1.0.1l_server_regular.dot,50.0,HadsInt,321
123,OpenSSL_1.0.1l_server_regular.dot,60.0,HadsInt,1626
123,OpenSSL_1.0.1l_server_regular.dot,90.0,HadsInt,4748
123,OpenSSL_1.0.1l_server_regular.dot,100.0,HadsInt,18171
203,OpenSSL_1.0.1l_server_regular.dot,10.0,Hsi,14
203,OpenSSL_1.0.1l_server_regular.dot,20.0,Hsi,63
203,OpenSSL_1.0.1l_server_regular.dot,50.0,Hsi,321
203,OpenSSL_1.0.1l_server_regular.dot,60.0,Hsi,1626
203,OpenSSL_1.0.1l_server_regular.dot,90.0,Hsi,4612
203,OpenSSL_1.0.1l_server_regular.dot,100.0,Hsi,18014
249,OpenSSL_1.0.1l_server_regular.dot,10.0,W,14
249,OpenSSL_1.0.1l_server_regular.dot,20.0,W,63
249,OpenSSL_1.0.1l_server_regular.dot,50.0,W,321
249,OpenSSL_1.0.1l_server_regular.dot,60.0,W,4014
249,OpenSSL_1.0.1l_server_regular.dot,90.0,W,15973
249,OpenSSL_1.0.1l_server_regular.dot,100.0,W,77954
348,OpenSSL_1.0.1l_server_regular.dot,10.0,Wp,14
348,OpenSSL_1.0.1l_server_regular.dot,20.0,Wp,63
348,OpenSSL_1.0.1l_server_regular.dot,50.0,Wp,321
348,OpenSSL_1.0.1l_server_regular.dot,60.0,Wp,2789
348,OpenSSL_1.0.1l_server_regular.dot,90.0,Wp,8350
348,OpenSSL_1.0.1l_server_regular.dot,100.0,Wp,29808
400,OpenSSL_1.0.1l_server_regular.dot,10.0,H,14
400,OpenSSL_1.0.1l_server_regular.dot,20.0,H,63
400,OpenSSL_1.0.1l_server_regular.dot,30.0,H,147
400,OpenSSL_1.0.1l_server_regular.dot,40.0,H,239
400,OpenSSL_1.0.1l_server_regular.dot,60.0,H,5940
400,OpenSSL_1.0.1l_server_regular.dot,70.0,H,6166
400,OpenSSL_1.0.1l_server_regular.dot,100.0,H,10364
528,OpenSSL_1.0.1l_server_regular.dot,10.0,SPYH,14
528,OpenSSL_1.0.1l_server_regular.dot,20.0,SPYH,63
528,OpenSSL_1.0.1l_server_regular.dot,30.0,SPYH,148
528,OpenSSL_1.0.1l_server_regular.dot,40.0,SPYH,201
528,OpenSSL_1.0.1l_server_regular.dot,50.0,SPYH,5448
528,OpenSSL_1.0.1l_server_regular.dot,80.0,SPYH,6093
528,OpenSSL_1.0.1l_server_regular.dot,100.0,SPYH,18247
603,OpenSSL_1.0.1l_server_regular.dot,10.0,SPY,14
603,OpenSSL_1.0.1l_server_regular.dot,20.0,SPY,63
603,OpenSSL_1.0.1l_server_regular.dot,30.0,SPY,143
603,OpenSSL_1.0.1l_server_regular.dot,50.0,SPY,3456
603,OpenSSL_1.0.1l_server_regular.dot,60.0,SPY,4492
603,OpenSSL_1.0.1l_server_regular.dot,70.0,SPY,13132
603,OpenSSL_1.0.1l_server_regular.dot,100.0,SPY,20495
