,SUL name,HypSizePercent,CTT,Total cost
225,OpenSSL_1.0.2_client_full.dot,11.11111111111111,Wp,20
225,OpenSSL_1.0.2_client_full.dot,22.22222222222222,Wp,90
225,OpenSSL_1.0.2_client_full.dot,33.33333333333333,Wp,196
225,OpenSSL_1.0.2_client_full.dot,44.44444444444444,Wp,2409
225,OpenSSL_1.0.2_client_full.dot,66.66666666666666,Wp,2582
225,OpenSSL_1.0.2_client_full.dot,88.88888888888889,Wp,10999
225,OpenSSL_1.0.2_client_full.dot,100.0,Wp,19710
273,OpenSSL_1.0.2_client_full.dot,11.11111111111111,Hsi,20
273,OpenSSL_1.0.2_client_full.dot,22.22222222222222,Hsi,90
273,OpenSSL_1.0.2_client_full.dot,33.33333333333333,Hsi,196
273,OpenSSL_1.0.2_client_full.dot,44.44444444444444,Hsi,1360
273,OpenSSL_1.0.2_client_full.dot,66.66666666666666,Hsi,1523
273,OpenSSL_1.0.2_client_full.dot,88.88888888888889,Hsi,4848
273,OpenSSL_1.0.2_client_full.dot,100.0,Hsi,8965
311,OpenSSL_1.0.2_client_full.dot,11.11111111111111,W,20
311,OpenSSL_1.0.2_client_full.dot,22.22222222222222,W,90
311,OpenSSL_1.0.2_client_full.dot,33.33333333333333,W,196
311,OpenSSL_1.0.2_client_full.dot,44.44444444444444,W,2409
311,OpenSSL_1.0.2_client_full.dot,66.66666666666666,W,3641
311,OpenSSL_1.0.2_client_full.dot,88.88888888888889,W,15684
311,OpenSSL_1.0.2_client_full.dot,100.0,W,43450
366,OpenSSL_1.0.2_client_full.dot,11.11111111111111,HadsInt,20
366,OpenSSL_1.0.2_client_full.dot,22.22222222222222,HadsInt,90
366,OpenSSL_1.0.2_client_full.dot,33.33333333333333,HadsInt,196
366,OpenSSL_1.0.2_client_full.dot,44.44444444444444,HadsInt,1360
366,OpenSSL_1.0.2_client_full.dot,66.66666666666666,HadsInt,1523
366,OpenSSL_1.0.2_client_full.dot,88.88888888888889,HadsInt,4848
366,OpenSSL_1.0.2_client_full.dot,100.0,HadsInt,8965
456,OpenSSL_1.0.2_client_full.dot,11.11111111111111,H,20
456,OpenSSL_1.0.2_client_full.dot,22.22222222222222,H,90
456,OpenSSL_1.0.2_client_full.dot,33.33333333333333,H,208
456,OpenSSL_1.0.2_client_full.dot,66.66666666666666,H,4273
456,OpenSSL_1.0.2_client_full.dot,77.77777777777779,H,29261
456,OpenSSL_1.0.2_client_full.dot,88.88888888888889,H,29885
456,OpenSSL_1.0.2_client_full.dot,100.0,H,41227
494,OpenSSL_1.0.2_client_full.dot,11.11111111111111,SPYH,20
494,OpenSSL_1.0.2_client_full.dot,22.22222222222222,SPYH,90
494,OpenSSL_1.0.2_client_full.dot,33.33333333333333,SPYH,203
494,OpenSSL_1.0.2_client_full.dot,66.66666666666666,SPYH,4007
494,OpenSSL_1.0.2_client_full.dot,77.77777777777779,SPYH,27165
494,OpenSSL_1.0.2_client_full.dot,88.88888888888889,SPYH,31481
494,OpenSSL_1.0.2_client_full.dot,100.0,SPYH,42981
643,OpenSSL_1.0.2_client_full.dot,11.11111111111111,SPY,20
643,OpenSSL_1.0.2_client_full.dot,22.22222222222222,SPY,90
643,OpenSSL_1.0.2_client_full.dot,33.33333333333333,SPY,204
643,OpenSSL_1.0.2_client_full.dot,44.44444444444444,SPY,8131
643,OpenSSL_1.0.2_client_full.dot,66.66666666666666,SPY,29189
643,OpenSSL_1.0.2_client_full.dot,77.77777777777779,SPY,41913
643,OpenSSL_1.0.2_client_full.dot,88.88888888888889,SPY,48354
643,OpenSSL_1.0.2_client_full.dot,100.0,SPY,65962
