,SUL name,HypSizePercent,CTT,Total cost
32,OpenSSL_1.0.2_client_regular.dot,16.666666666666664,H-ADS,14
32,OpenSSL_1.0.2_client_regular.dot,33.33333333333333,H-ADS,63
32,OpenSSL_1.0.2_client_regular.dot,50.0,H-ADS,151
32,OpenSSL_1.0.2_client_regular.dot,66.66666666666666,H-ADS,1202
32,OpenSSL_1.0.2_client_regular.dot,83.33333333333334,H-ADS,2476
32,OpenSSL_1.0.2_client_regular.dot,100.0,H-ADS,4504
71,OpenSSL_1.0.2_client_regular.dot,16.666666666666664,Wp,14
71,OpenSSL_1.0.2_client_regular.dot,33.33333333333333,Wp,63
71,OpenSSL_1.0.2_client_regular.dot,50.0,Wp,151
71,OpenSSL_1.0.2_client_regular.dot,66.66666666666666,Wp,2147
71,OpenSSL_1.0.2_client_regular.dot,83.33333333333334,Wp,4473
71,OpenSSL_1.0.2_client_regular.dot,100.0,Wp,8175
173,OpenSSL_1.0.2_client_regular.dot,16.666666666666664,W,14
173,OpenSSL_1.0.2_client_regular.dot,33.33333333333333,W,63
173,OpenSSL_1.0.2_client_regular.dot,50.0,W,151
173,OpenSSL_1.0.2_client_regular.dot,66.66666666666666,W,2165
173,OpenSSL_1.0.2_client_regular.dot,83.33333333333334,W,6559
173,OpenSSL_1.0.2_client_regular.dot,100.0,W,15806
217,OpenSSL_1.0.2_client_regular.dot,16.666666666666664,HSI,14
217,OpenSSL_1.0.2_client_regular.dot,33.33333333333333,HSI,63
217,OpenSSL_1.0.2_client_regular.dot,50.0,HSI,151
217,OpenSSL_1.0.2_client_regular.dot,66.66666666666666,HSI,1202
217,OpenSSL_1.0.2_client_regular.dot,83.33333333333334,HSI,2476
217,OpenSSL_1.0.2_client_regular.dot,100.0,HSI,4504
395,OpenSSL_1.0.2_client_regular.dot,16.666666666666664,H,14
395,OpenSSL_1.0.2_client_regular.dot,33.33333333333333,H,63
395,OpenSSL_1.0.2_client_regular.dot,50.0,H,159
395,OpenSSL_1.0.2_client_regular.dot,66.66666666666666,H,3998
395,OpenSSL_1.0.2_client_regular.dot,83.33333333333334,H,6019
395,OpenSSL_1.0.2_client_regular.dot,100.0,H,8208
496,OpenSSL_1.0.2_client_regular.dot,16.666666666666664,SPY,14
496,OpenSSL_1.0.2_client_regular.dot,33.33333333333333,SPY,63
496,OpenSSL_1.0.2_client_regular.dot,50.0,SPY,155
496,OpenSSL_1.0.2_client_regular.dot,66.66666666666666,SPY,4310
496,OpenSSL_1.0.2_client_regular.dot,83.33333333333334,SPY,8776
496,OpenSSL_1.0.2_client_regular.dot,100.0,SPY,11135
620,OpenSSL_1.0.2_client_regular.dot,16.666666666666664,SPY-H,14
620,OpenSSL_1.0.2_client_regular.dot,33.33333333333333,SPY-H,63
620,OpenSSL_1.0.2_client_regular.dot,50.0,SPY-H,158
620,OpenSSL_1.0.2_client_regular.dot,66.66666666666666,SPY-H,4254
620,OpenSSL_1.0.2_client_regular.dot,83.33333333333334,SPY-H,5476
620,OpenSSL_1.0.2_client_regular.dot,100.0,SPY-H,9064
