,SUL name,HypSizePercent,CTT,Total cost
83,OpenSSL_1.0.2_server_regular.dot,14.285714285714285,Wp,14
83,OpenSSL_1.0.2_server_regular.dot,28.57142857142857,Wp,63
83,OpenSSL_1.0.2_server_regular.dot,42.857142857142854,Wp,153
83,OpenSSL_1.0.2_server_regular.dot,57.14285714285714,Wp,1658
83,OpenSSL_1.0.2_server_regular.dot,71.42857142857143,Wp,1765
83,OpenSSL_1.0.2_server_regular.dot,85.71428571428571,Wp,3948
83,OpenSSL_1.0.2_server_regular.dot,100.0,Wp,19463
128,OpenSSL_1.0.2_server_regular.dot,14.285714285714285,Hsi,14
128,OpenSSL_1.0.2_server_regular.dot,28.57142857142857,Hsi,63
128,OpenSSL_1.0.2_server_regular.dot,42.857142857142854,Hsi,153
128,OpenSSL_1.0.2_server_regular.dot,57.14285714285714,Hsi,966
128,OpenSSL_1.0.2_server_regular.dot,71.42857142857143,Hsi,1088
128,OpenSSL_1.0.2_server_regular.dot,85.71428571428571,Hsi,3165
128,OpenSSL_1.0.2_server_regular.dot,100.0,Hsi,10205
192,OpenSSL_1.0.2_server_regular.dot,14.285714285714285,HadsInt,14
192,OpenSSL_1.0.2_server_regular.dot,28.57142857142857,HadsInt,63
192,OpenSSL_1.0.2_server_regular.dot,42.857142857142854,HadsInt,153
192,OpenSSL_1.0.2_server_regular.dot,57.14285714285714,HadsInt,966
192,OpenSSL_1.0.2_server_regular.dot,71.42857142857143,HadsInt,1088
192,OpenSSL_1.0.2_server_regular.dot,85.71428571428571,HadsInt,3196
192,OpenSSL_1.0.2_server_regular.dot,100.0,HadsInt,10262
195,OpenSSL_1.0.2_server_regular.dot,14.285714285714285,W,14
195,OpenSSL_1.0.2_server_regular.dot,28.57142857142857,W,63
195,OpenSSL_1.0.2_server_regular.dot,42.857142857142854,W,153
195,OpenSSL_1.0.2_server_regular.dot,57.14285714285714,W,1676
195,OpenSSL_1.0.2_server_regular.dot,71.42857142857143,W,2503
195,OpenSSL_1.0.2_server_regular.dot,85.71428571428571,W,7478
195,OpenSSL_1.0.2_server_regular.dot,100.0,W,38459
437,OpenSSL_1.0.2_server_regular.dot,14.285714285714285,H,14
437,OpenSSL_1.0.2_server_regular.dot,28.57142857142857,H,63
437,OpenSSL_1.0.2_server_regular.dot,42.857142857142854,H,151
437,OpenSSL_1.0.2_server_regular.dot,57.14285714285714,H,243
437,OpenSSL_1.0.2_server_regular.dot,71.42857142857143,H,5888
437,OpenSSL_1.0.2_server_regular.dot,85.71428571428571,H,7800
437,OpenSSL_1.0.2_server_regular.dot,100.0,H,7965
508,OpenSSL_1.0.2_server_regular.dot,14.285714285714285,SPYH,14
508,OpenSSL_1.0.2_server_regular.dot,28.57142857142857,SPYH,63
508,OpenSSL_1.0.2_server_regular.dot,42.857142857142854,SPYH,154
508,OpenSSL_1.0.2_server_regular.dot,57.14285714285714,SPYH,203
508,OpenSSL_1.0.2_server_regular.dot,71.42857142857143,SPYH,5444
508,OpenSSL_1.0.2_server_regular.dot,100.0,SPYH,7220
560,OpenSSL_1.0.2_server_regular.dot,14.285714285714285,SPY,14
560,OpenSSL_1.0.2_server_regular.dot,28.57142857142857,SPY,63
560,OpenSSL_1.0.2_server_regular.dot,42.857142857142854,SPY,147
560,OpenSSL_1.0.2_server_regular.dot,57.14285714285714,SPY,3844
560,OpenSSL_1.0.2_server_regular.dot,71.42857142857143,SPY,4892
560,OpenSSL_1.0.2_server_regular.dot,100.0,SPY,10543
