,SUL name,HypSizePercent,CTT,Total cost
2,RSA_BSAFE_C_4.0.4_server_regular.dot,11.11111111111111,W,16
2,RSA_BSAFE_C_4.0.4_server_regular.dot,33.33333333333333,W,104
2,RSA_BSAFE_C_4.0.4_server_regular.dot,77.77777777777779,W,2192
2,RSA_BSAFE_C_4.0.4_server_regular.dot,88.88888888888889,W,37310
2,RSA_BSAFE_C_4.0.4_server_regular.dot,100.0,W,65975
29,RSA_BSAFE_C_4.0.4_server_regular.dot,11.11111111111111,Wp,16
29,RSA_BSAFE_C_4.0.4_server_regular.dot,33.33333333333333,Wp,104
29,RSA_BSAFE_C_4.0.4_server_regular.dot,77.77777777777779,Wp,2192
29,RSA_BSAFE_C_4.0.4_server_regular.dot,88.88888888888889,Wp,18932
29,RSA_BSAFE_C_4.0.4_server_regular.dot,100.0,Wp,22381
67,RSA_BSAFE_C_4.0.4_server_regular.dot,11.11111111111111,HadsInt,16
67,RSA_BSAFE_C_4.0.4_server_regular.dot,33.33333333333333,HadsInt,104
67,RSA_BSAFE_C_4.0.4_server_regular.dot,77.77777777777779,HadsInt,2192
67,RSA_BSAFE_C_4.0.4_server_regular.dot,88.88888888888889,HadsInt,28141
67,RSA_BSAFE_C_4.0.4_server_regular.dot,100.0,HadsInt,32167
343,RSA_BSAFE_C_4.0.4_server_regular.dot,11.11111111111111,Hsi,16
343,RSA_BSAFE_C_4.0.4_server_regular.dot,33.33333333333333,Hsi,104
343,RSA_BSAFE_C_4.0.4_server_regular.dot,77.77777777777779,Hsi,2192
343,RSA_BSAFE_C_4.0.4_server_regular.dot,88.88888888888889,Hsi,28141
343,RSA_BSAFE_C_4.0.4_server_regular.dot,100.0,Hsi,32167
452,RSA_BSAFE_C_4.0.4_server_regular.dot,11.11111111111111,H,16
452,RSA_BSAFE_C_4.0.4_server_regular.dot,33.33333333333333,H,104
452,RSA_BSAFE_C_4.0.4_server_regular.dot,55.55555555555556,H,223
452,RSA_BSAFE_C_4.0.4_server_regular.dot,100.0,H,11629
530,RSA_BSAFE_C_4.0.4_server_regular.dot,11.11111111111111,SPYH,16
530,RSA_BSAFE_C_4.0.4_server_regular.dot,33.33333333333333,SPYH,104
530,RSA_BSAFE_C_4.0.4_server_regular.dot,55.55555555555556,SPYH,192
530,RSA_BSAFE_C_4.0.4_server_regular.dot,100.0,SPYH,11051
532,RSA_BSAFE_C_4.0.4_server_regular.dot,11.11111111111111,SPY,16
532,RSA_BSAFE_C_4.0.4_server_regular.dot,33.33333333333333,SPY,104
532,RSA_BSAFE_C_4.0.4_server_regular.dot,77.77777777777779,SPY,2392
532,RSA_BSAFE_C_4.0.4_server_regular.dot,88.88888888888889,SPY,4388
532,RSA_BSAFE_C_4.0.4_server_regular.dot,100.0,SPY,4457
