,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
113,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '337/1685', '137/822']","[1, 2, 3, 4, 6]",98860,50,166,476,2513,5,16,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 339, 476]","[0, 2, 6, 1691, 2513]",2679,526,3205,216,2989,[  8  24  33 376 526],8,0.8415271966527197,40395.5,Fixed,TLS,16.666666666666664
113,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '337/1685', '137/822']","[1, 2, 3, 4, 6]",98860,50,166,476,2513,5,16,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 339, 476]","[0, 2, 6, 1691, 2513]",2679,526,3205,216,2989,[  8  24  33 376 526],48,0.8415271966527197,40395.5,Fixed,TLS,33.33333333333333
113,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '337/1685', '137/822']","[1, 2, 3, 4, 6]",98860,50,166,476,2513,5,16,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 339, 476]","[0, 2, 6, 1691, 2513]",2679,526,3205,216,2989,[  8  24  33 376 526],76,0.8415271966527197,40395.5,Fixed,TLS,50.0
113,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '337/1685', '137/822']","[1, 2, 3, 4, 6]",98860,50,166,476,2513,5,16,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 339, 476]","[0, 2, 6, 1691, 2513]",2679,526,3205,216,2989,[  8  24  33 376 526],1785,0.8415271966527197,40395.5,Fixed,TLS,66.66666666666666
113,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '337/1685', '137/822']","[1, 2, 3, 4, 6]",98860,50,166,476,2513,5,16,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 339, 476]","[0, 2, 6, 1691, 2513]",2679,526,3205,216,2989,[  8  24  33 376 526],2679,0.8415271966527197,40395.5,Fixed,TLS,100.0
152,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '673/3365', '729/4054']","[1, 2, 3, 4, 6]",194608,50,166,1404,7425,5,7,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 675, 1404]","[0, 2, 6, 3371, 7425]",7591,1454,9045,216,8829,[   8   24   33  712 1454],8,0.5908298465829847,32963.5,Fixed,TLS,16.666666666666664
152,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '673/3365', '729/4054']","[1, 2, 3, 4, 6]",194608,50,166,1404,7425,5,7,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 675, 1404]","[0, 2, 6, 3371, 7425]",7591,1454,9045,216,8829,[   8   24   33  712 1454],48,0.5908298465829847,32963.5,Fixed,TLS,33.33333333333333
152,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '673/3365', '729/4054']","[1, 2, 3, 4, 6]",194608,50,166,1404,7425,5,7,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 675, 1404]","[0, 2, 6, 3371, 7425]",7591,1454,9045,216,8829,[   8   24   33  712 1454],76,0.5908298465829847,32963.5,Fixed,TLS,50.0
152,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '673/3365', '729/4054']","[1, 2, 3, 4, 6]",194608,50,166,1404,7425,5,7,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 675, 1404]","[0, 2, 6, 3371, 7425]",7591,1454,9045,216,8829,[   8   24   33  712 1454],3465,0.5908298465829847,32963.5,Fixed,TLS,66.66666666666666
152,"L# (SepSeq, SepSeq)",81,W,W,2,8,Y,RSA_BSAFE_Java_6.1.1_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '8/24', '6/24', '13/72']","['1/2', '1/4', '673/3365', '729/4054']","[1, 2, 3, 4, 6]",194608,50,166,1404,7425,5,7,OK,[ 8 23 31 37 50],[  8  46  70  94 166],"[0, 1, 2, 675, 1404]","[0, 2, 6, 3371, 7425]",7591,1454,9045,216,8829,[   8   24   33  712 1454],7591,0.5908298465829847,32963.5,Fixed,TLS,100.0
