,SUL name,HypSizePercent,CTT,Total cost
33,Rabo_learnresult_MAESTRO_fix.dot,16.666666666666664,HadsInt,28
33,Rabo_learnresult_MAESTRO_fix.dot,66.66666666666666,HadsInt,280
33,Rabo_learnresult_MAESTRO_fix.dot,83.33333333333334,HadsInt,15112
33,Rabo_learnresult_MAESTRO_fix.dot,100.0,HadsInt,25521
181,Rabo_learnresult_MAESTRO_fix.dot,16.666666666666664,W,28
181,Rabo_learnresult_MAESTRO_fix.dot,66.66666666666666,W,280
181,Rabo_learnresult_MAESTRO_fix.dot,83.33333333333334,W,15112
181,Rabo_learnresult_MAESTRO_fix.dot,100.0,W,31524
182,Rabo_learnresult_MAESTRO_fix.dot,16.666666666666664,Wp,28
182,Rabo_learnresult_MAESTRO_fix.dot,66.66666666666666,Wp,280
182,Rabo_learnresult_MAESTRO_fix.dot,83.33333333333334,Wp,15112
182,Rabo_learnresult_MAESTRO_fix.dot,100.0,Wp,25521
265,Rabo_learnresult_MAESTRO_fix.dot,16.666666666666664,Hsi,28
265,Rabo_learnresult_MAESTRO_fix.dot,66.66666666666666,Hsi,280
265,Rabo_learnresult_MAESTRO_fix.dot,83.33333333333334,Hsi,15112
265,Rabo_learnresult_MAESTRO_fix.dot,100.0,Hsi,25521
425,Rabo_learnresult_MAESTRO_fix.dot,16.666666666666664,H,28
425,Rabo_learnresult_MAESTRO_fix.dot,66.66666666666666,H,280
425,Rabo_learnresult_MAESTRO_fix.dot,83.33333333333334,H,31593
425,Rabo_learnresult_MAESTRO_fix.dot,100.0,H,52408
483,Rabo_learnresult_MAESTRO_fix.dot,16.666666666666664,SPYH,28
483,Rabo_learnresult_MAESTRO_fix.dot,66.66666666666666,SPYH,280
483,Rabo_learnresult_MAESTRO_fix.dot,83.33333333333334,SPYH,25774
483,Rabo_learnresult_MAESTRO_fix.dot,100.0,SPYH,123618
542,Rabo_learnresult_MAESTRO_fix.dot,16.666666666666664,SPY,28
542,Rabo_learnresult_MAESTRO_fix.dot,66.66666666666666,SPY,280
542,Rabo_learnresult_MAESTRO_fix.dot,83.33333333333334,SPY,6177
542,Rabo_learnresult_MAESTRO_fix.dot,100.0,SPY,21665
