,SUL name,HypSizePercent,CTT,Total cost
151,Rabo_learnresult_SecureCode_Aut_fix.dot,16.666666666666664,Wp,30
151,Rabo_learnresult_SecureCode_Aut_fix.dot,50.0,Wp,210
151,Rabo_learnresult_SecureCode_Aut_fix.dot,66.66666666666666,Wp,29145
151,Rabo_learnresult_SecureCode_Aut_fix.dot,100.0,Wp,47567
218,Rabo_learnresult_SecureCode_Aut_fix.dot,16.666666666666664,W,30
218,Rabo_learnresult_SecureCode_Aut_fix.dot,50.0,W,210
218,Rabo_learnresult_SecureCode_Aut_fix.dot,66.66666666666666,W,29145
218,Rabo_learnresult_SecureCode_Aut_fix.dot,100.0,W,59703
241,Rabo_learnresult_SecureCode_Aut_fix.dot,16.666666666666664,Hsi,30
241,Rabo_learnresult_SecureCode_Aut_fix.dot,50.0,Hsi,210
241,Rabo_learnresult_SecureCode_Aut_fix.dot,66.66666666666666,Hsi,29145
241,Rabo_learnresult_SecureCode_Aut_fix.dot,100.0,Hsi,62108
333,Rabo_learnresult_SecureCode_Aut_fix.dot,16.666666666666664,HadsInt,30
333,Rabo_learnresult_SecureCode_Aut_fix.dot,50.0,HadsInt,210
333,Rabo_learnresult_SecureCode_Aut_fix.dot,66.66666666666666,HadsInt,29145
333,Rabo_learnresult_SecureCode_Aut_fix.dot,100.0,HadsInt,62108
445,Rabo_learnresult_SecureCode_Aut_fix.dot,16.666666666666664,H,30
445,Rabo_learnresult_SecureCode_Aut_fix.dot,50.0,H,210
445,Rabo_learnresult_SecureCode_Aut_fix.dot,66.66666666666666,H,38515
445,Rabo_learnresult_SecureCode_Aut_fix.dot,100.0,H,63969
493,Rabo_learnresult_SecureCode_Aut_fix.dot,16.666666666666664,SPYH,30
493,Rabo_learnresult_SecureCode_Aut_fix.dot,50.0,SPYH,210
493,Rabo_learnresult_SecureCode_Aut_fix.dot,66.66666666666666,SPYH,31784
493,Rabo_learnresult_SecureCode_Aut_fix.dot,100.0,SPYH,116677
514,Rabo_learnresult_SecureCode_Aut_fix.dot,16.666666666666664,SPY,30
514,Rabo_learnresult_SecureCode_Aut_fix.dot,50.0,SPY,210
514,Rabo_learnresult_SecureCode_Aut_fix.dot,66.66666666666666,SPY,7114
514,Rabo_learnresult_SecureCode_Aut_fix.dot,100.0,SPY,96309
