,SUL name,HypSizePercent,CTT,Total cost
89,TCP_FreeBSD_Client.dot,8.333333333333332,W,20
89,TCP_FreeBSD_Client.dot,16.666666666666664,W,150
89,TCP_FreeBSD_Client.dot,41.66666666666667,W,575
89,TCP_FreeBSD_Client.dot,50.0,W,1084
89,TCP_FreeBSD_Client.dot,58.333333333333336,W,6138
89,TCP_FreeBSD_Client.dot,83.33333333333334,W,9096
89,TCP_FreeBSD_Client.dot,100.0,W,69346
172,TCP_FreeBSD_Client.dot,8.333333333333332,HadsInt,20
172,TCP_FreeBSD_Client.dot,16.666666666666664,HadsInt,150
172,TCP_FreeBSD_Client.dot,41.66666666666667,HadsInt,575
172,TCP_FreeBSD_Client.dot,50.0,HadsInt,2693
172,TCP_FreeBSD_Client.dot,58.333333333333336,HadsInt,3490
172,TCP_FreeBSD_Client.dot,83.33333333333334,HadsInt,21826
172,TCP_FreeBSD_Client.dot,100.0,HadsInt,33204
285,TCP_FreeBSD_Client.dot,8.333333333333332,Wp,20
285,TCP_FreeBSD_Client.dot,16.666666666666664,Wp,150
285,TCP_FreeBSD_Client.dot,41.66666666666667,Wp,575
285,TCP_FreeBSD_Client.dot,50.0,Wp,839
285,TCP_FreeBSD_Client.dot,58.333333333333336,Wp,4179
285,TCP_FreeBSD_Client.dot,83.33333333333334,Wp,40110
285,TCP_FreeBSD_Client.dot,100.0,Wp,61921
353,TCP_FreeBSD_Client.dot,8.333333333333332,Hsi,20
353,TCP_FreeBSD_Client.dot,16.666666666666664,Hsi,150
353,TCP_FreeBSD_Client.dot,41.66666666666667,Hsi,575
353,TCP_FreeBSD_Client.dot,50.0,Hsi,2693
353,TCP_FreeBSD_Client.dot,58.333333333333336,Hsi,3490
353,TCP_FreeBSD_Client.dot,83.33333333333334,Hsi,18536
353,TCP_FreeBSD_Client.dot,100.0,Hsi,28875
382,TCP_FreeBSD_Client.dot,8.333333333333332,H,20
382,TCP_FreeBSD_Client.dot,16.666666666666664,H,150
382,TCP_FreeBSD_Client.dot,41.66666666666667,H,540
382,TCP_FreeBSD_Client.dot,50.0,H,679
382,TCP_FreeBSD_Client.dot,58.333333333333336,H,14051
382,TCP_FreeBSD_Client.dot,83.33333333333334,H,15562
382,TCP_FreeBSD_Client.dot,100.0,H,33564
535,TCP_FreeBSD_Client.dot,8.333333333333332,SPY,20
535,TCP_FreeBSD_Client.dot,16.666666666666664,SPY,150
535,TCP_FreeBSD_Client.dot,41.66666666666667,SPY,475
535,TCP_FreeBSD_Client.dot,58.333333333333336,SPY,2678
535,TCP_FreeBSD_Client.dot,83.33333333333334,SPY,23663
535,TCP_FreeBSD_Client.dot,100.0,SPY,89564
607,TCP_FreeBSD_Client.dot,8.333333333333332,SPYH,20
607,TCP_FreeBSD_Client.dot,16.666666666666664,SPYH,150
607,TCP_FreeBSD_Client.dot,58.333333333333336,SPYH,1068
607,TCP_FreeBSD_Client.dot,66.66666666666666,SPYH,3572
607,TCP_FreeBSD_Client.dot,75.0,SPYH,12591
607,TCP_FreeBSD_Client.dot,83.33333333333334,SPYH,14174
607,TCP_FreeBSD_Client.dot,100.0,SPYH,84703
