,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],10,0.8006725276388198,1461409.0,Fixed,TCP,6.666666666666667
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],100,0.8006725276388198,1461409.0,Fixed,TCP,13.333333333333334
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],434,0.8006725276388198,1461409.0,Fixed,TCP,33.33333333333333
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],3170,0.8006725276388198,1461409.0,Fixed,TCP,40.0
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],3704,0.8006725276388198,1461409.0,Fixed,TCP,46.666666666666664
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],21001,0.8006725276388198,1461409.0,Fixed,TCP,66.66666666666666
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],24051,0.8006725276388198,1461409.0,Fixed,TCP,80.0
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],65851,0.8006725276388198,1461409.0,Fixed,TCP,93.33333333333333
63,"L# (SepSeq, SepSeq)",81,Wp,Wp,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '27/129', '88/589', '59/327', '39/217', '36/221']","['22/44', '31/124', '607/2556', '93/405', '2968/16708', '502/2723', '6868/41583', '3579/25316']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",2892160,385,1929,14670,89459,9,88,OK,[ 10  28  88 136 163 251 310 349 385],[  10   56  266  446  575 1164 1491 1708 1929],"[0, 22, 53, 660, 753, 3721, 4223, 11091, 14670]","[0, 44, 168, 2724, 3129, 19837, 22560, 64143, 89459]",91388,15055,106443,2314,104129,[   10    50   141   796   916  3972  4533 11440 15055],91388,0.8006725276388198,1461409.0,Fixed,TCP,100.0
199,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/210', '48/180', '32/149', '90/499', '58/312', '42/301', '41/245']","['22/44', '31/124', '333/1537', '91/560', '1009/7264', '177/1060', '2972/24049', '1687/17791']","[1, 2, 5, 6, 7, 10, 12, 14, 15]",1514132,399,1952,6322,52429,9,117,OK,[ 10  28  88 136 168 258 316 358 399],[  10   56  266  446  595 1094 1406 1707 1952],"[0, 22, 53, 386, 477, 1486, 1663, 4635, 6322]","[0, 44, 168, 1705, 2265, 9529, 10589, 34638, 52429]",54381,6721,61102,2351,58751,[  10   50  141  522  645 1744 1979 4993 6721],10,0.8897965538414976,1576935.5,Fixed,TCP,6.666666666666667
