,SUL name,HypSizePercent,CTT,Total cost
11,TCP_Linux_Server.dot,1.7543859649122806,HSI,24
11,TCP_Linux_Server.dot,3.508771929824561,HSI,360
11,TCP_Linux_Server.dot,5.263157894736842,HSI,1112
11,TCP_Linux_Server.dot,12.280701754385964,HSI,1771
11,TCP_Linux_Server.dot,15.789473684210526,HSI,21116
11,TCP_Linux_Server.dot,22.807017543859647,HSI,33736
11,TCP_Linux_Server.dot,26.31578947368421,HSI,60467
11,TCP_Linux_Server.dot,28.07017543859649,HSI,65917
11,TCP_Linux_Server.dot,31.57894736842105,HSI,79059
11,TCP_Linux_Server.dot,33.33333333333333,HSI,113491
11,TCP_Linux_Server.dot,35.08771929824561,HSI,124121
11,TCP_Linux_Server.dot,36.84210526315789,HSI,125459
11,TCP_Linux_Server.dot,38.59649122807017,HSI,139518
11,TCP_Linux_Server.dot,40.35087719298245,HSI,141253
11,TCP_Linux_Server.dot,42.10526315789473,HSI,155254
11,TCP_Linux_Server.dot,43.859649122807014,HSI,156780
11,TCP_Linux_Server.dot,45.614035087719294,HSI,193574
11,TCP_Linux_Server.dot,47.368421052631575,HSI,237974
11,TCP_Linux_Server.dot,49.122807017543856,HSI,247242
11,TCP_Linux_Server.dot,52.63157894736842,HSI,335577
11,TCP_Linux_Server.dot,54.385964912280706,HSI,364180
11,TCP_Linux_Server.dot,59.64912280701754,HSI,486809
11,TCP_Linux_Server.dot,61.40350877192983,HSI,489633
11,TCP_Linux_Server.dot,64.91228070175438,HSI,511992
11,TCP_Linux_Server.dot,66.66666666666666,HSI,568833
11,TCP_Linux_Server.dot,68.42105263157895,HSI,639472
11,TCP_Linux_Server.dot,70.17543859649122,HSI,646765
11,TCP_Linux_Server.dot,71.9298245614035,HSI,686791
11,TCP_Linux_Server.dot,73.68421052631578,HSI,1123969
11,TCP_Linux_Server.dot,80.7017543859649,HSI,1316798
11,TCP_Linux_Server.dot,82.45614035087719,HSI,1700588
11,TCP_Linux_Server.dot,84.21052631578947,HSI,1946303
11,TCP_Linux_Server.dot,85.96491228070175,HSI,2113921
11,TCP_Linux_Server.dot,87.71929824561403,HSI,2373579
11,TCP_Linux_Server.dot,91.22807017543859,HSI,2591641
11,TCP_Linux_Server.dot,98.24561403508771,HSI,2912023
11,TCP_Linux_Server.dot,100.0,HSI,2913378
111,TCP_Linux_Server.dot,1.7543859649122806,W,24
111,TCP_Linux_Server.dot,3.508771929824561,W,360
111,TCP_Linux_Server.dot,5.263157894736842,W,1112
111,TCP_Linux_Server.dot,12.280701754385964,W,4067
111,TCP_Linux_Server.dot,14.035087719298245,W,47156
111,TCP_Linux_Server.dot,17.543859649122805,W,55698
111,TCP_Linux_Server.dot,22.807017543859647,W,78471
