,SUL name,HypSizePercent,CTT,Total cost
26,TCP_Windows8_Client.dot,7.6923076923076925,Hsi,20
26,TCP_Windows8_Client.dot,15.384615384615385,Hsi,150
26,TCP_Windows8_Client.dot,69.23076923076923,Hsi,1607
26,TCP_Windows8_Client.dot,76.92307692307693,Hsi,4064
26,TCP_Windows8_Client.dot,84.61538461538461,Hsi,8522
26,TCP_Windows8_Client.dot,92.3076923076923,Hsi,13141
26,TCP_Windows8_Client.dot,100.0,Hsi,15416
201,TCP_Windows8_Client.dot,7.6923076923076925,HadsInt,20
201,TCP_Windows8_Client.dot,15.384615384615385,HadsInt,150
201,TCP_Windows8_Client.dot,69.23076923076923,HadsInt,1607
201,TCP_Windows8_Client.dot,76.92307692307693,HadsInt,4064
201,TCP_Windows8_Client.dot,84.61538461538461,HadsInt,8522
201,TCP_Windows8_Client.dot,92.3076923076923,HadsInt,13141
201,TCP_Windows8_Client.dot,100.0,HadsInt,15416
223,TCP_Windows8_Client.dot,7.6923076923076925,W,20
223,TCP_Windows8_Client.dot,15.384615384615385,W,150
223,TCP_Windows8_Client.dot,69.23076923076923,W,1607
223,TCP_Windows8_Client.dot,76.92307692307693,W,9099
223,TCP_Windows8_Client.dot,84.61538461538461,W,20210
223,TCP_Windows8_Client.dot,92.3076923076923,W,23659
223,TCP_Windows8_Client.dot,100.0,W,51771
236,TCP_Windows8_Client.dot,7.6923076923076925,Wp,20
236,TCP_Windows8_Client.dot,15.384615384615385,Wp,150
236,TCP_Windows8_Client.dot,69.23076923076923,Wp,1607
236,TCP_Windows8_Client.dot,76.92307692307693,Wp,13996
236,TCP_Windows8_Client.dot,84.61538461538461,Wp,15286
236,TCP_Windows8_Client.dot,92.3076923076923,Wp,17902
236,TCP_Windows8_Client.dot,100.0,Wp,35964
379,TCP_Windows8_Client.dot,7.6923076923076925,H,20
379,TCP_Windows8_Client.dot,15.384615384615385,H,150
379,TCP_Windows8_Client.dot,69.23076923076923,H,1552
379,TCP_Windows8_Client.dot,76.92307692307693,H,15868
379,TCP_Windows8_Client.dot,92.3076923076923,H,18800
379,TCP_Windows8_Client.dot,100.0,H,36907
586,TCP_Windows8_Client.dot,7.6923076923076925,SPY,20
586,TCP_Windows8_Client.dot,15.384615384615385,SPY,150
586,TCP_Windows8_Client.dot,69.23076923076923,SPY,1194
586,TCP_Windows8_Client.dot,76.92307692307693,SPY,19787
586,TCP_Windows8_Client.dot,84.61538461538461,SPY,22293
586,TCP_Windows8_Client.dot,92.3076923076923,SPY,67830
586,TCP_Windows8_Client.dot,100.0,SPY,145687
596,TCP_Windows8_Client.dot,7.6923076923076925,SPYH,20
596,TCP_Windows8_Client.dot,15.384615384615385,SPYH,150
596,TCP_Windows8_Client.dot,69.23076923076923,SPYH,1483
596,TCP_Windows8_Client.dot,76.92307692307693,SPYH,23208
596,TCP_Windows8_Client.dot,84.61538461538461,SPYH,23572
596,TCP_Windows8_Client.dot,92.3076923076923,SPYH,26902
596,TCP_Windows8_Client.dot,100.0,SPYH,54017
