,SUL name,HypSizePercent,CTT,Total cost
5,TCP_Windows8_Server.dot,2.631578947368421,HadsInt,26
5,TCP_Windows8_Server.dot,13.157894736842104,HadsInt,744
5,TCP_Windows8_Server.dot,15.789473684210526,HadsInt,2212
5,TCP_Windows8_Server.dot,18.421052631578945,HadsInt,20402
5,TCP_Windows8_Server.dot,21.052631578947366,HadsInt,25553
5,TCP_Windows8_Server.dot,28.947368421052634,HadsInt,33195
5,TCP_Windows8_Server.dot,34.21052631578947,HadsInt,50914
5,TCP_Windows8_Server.dot,36.84210526315789,HadsInt,72764
5,TCP_Windows8_Server.dot,39.473684210526315,HadsInt,96641
5,TCP_Windows8_Server.dot,44.73684210526316,HadsInt,146987
5,TCP_Windows8_Server.dot,47.368421052631575,HadsInt,152543
5,TCP_Windows8_Server.dot,50.0,HadsInt,222681
5,TCP_Windows8_Server.dot,52.63157894736842,HadsInt,275934
5,TCP_Windows8_Server.dot,55.26315789473685,HadsInt,279392
5,TCP_Windows8_Server.dot,57.89473684210527,HadsInt,280902
5,TCP_Windows8_Server.dot,60.526315789473685,HadsInt,305756
5,TCP_Windows8_Server.dot,68.42105263157895,HadsInt,310980
5,TCP_Windows8_Server.dot,71.05263157894737,HadsInt,371990
5,TCP_Windows8_Server.dot,73.68421052631578,HadsInt,378053
5,TCP_Windows8_Server.dot,76.31578947368422,HadsInt,426699
5,TCP_Windows8_Server.dot,78.94736842105263,HadsInt,427529
5,TCP_Windows8_Server.dot,81.57894736842105,HadsInt,431949
5,TCP_Windows8_Server.dot,84.21052631578947,HadsInt,557759
5,TCP_Windows8_Server.dot,86.8421052631579,HadsInt,562529
5,TCP_Windows8_Server.dot,92.10526315789474,HadsInt,611315
5,TCP_Windows8_Server.dot,94.73684210526315,HadsInt,1088174
5,TCP_Windows8_Server.dot,97.36842105263158,HadsInt,1121801
5,TCP_Windows8_Server.dot,100.0,HadsInt,1806759
80,TCP_Windows8_Server.dot,2.631578947368421,Wp,26
80,TCP_Windows8_Server.dot,13.157894736842104,Wp,744
80,TCP_Windows8_Server.dot,15.789473684210526,Wp,1769
80,TCP_Windows8_Server.dot,18.421052631578945,Wp,26724
80,TCP_Windows8_Server.dot,21.052631578947366,Wp,33421
80,TCP_Windows8_Server.dot,28.947368421052634,Wp,50674
80,TCP_Windows8_Server.dot,34.21052631578947,Wp,51149
80,TCP_Windows8_Server.dot,36.84210526315789,Wp,68802
80,TCP_Windows8_Server.dot,42.10526315789473,Wp,69501
80,TCP_Windows8_Server.dot,44.73684210526316,Wp,100583
80,TCP_Windows8_Server.dot,52.63157894736842,Wp,142591
80,TCP_Windows8_Server.dot,55.26315789473685,Wp,155089
80,TCP_Windows8_Server.dot,57.89473684210527,Wp,155638
80,TCP_Windows8_Server.dot,60.526315789473685,Wp,162406
80,TCP_Windows8_Server.dot,63.1578947368421,Wp,162996
80,TCP_Windows8_Server.dot,65.78947368421053,Wp,167284
80,TCP_Windows8_Server.dot,71.05263157894737,Wp,213804
80,TCP_Windows8_Server.dot,73.68421052631578,Wp,239925
80,TCP_Windows8_Server.dot,76.31578947368422,Wp,254390
80,TCP_Windows8_Server.dot,78.94736842105263,Wp,255282
80,TCP_Windows8_Server.dot,81.57894736842105,Wp,258799
80,TCP_Windows8_Server.dot,84.21052631578947,Wp,564280
80,TCP_Windows8_Server.dot,86.8421052631579,Wp,646975
80,TCP_Windows8_Server.dot,89.47368421052632,Wp,1333215
80,TCP_Windows8_Server.dot,92.10526315789474,Wp,1682267
80,TCP_Windows8_Server.dot,97.36842105263158,Wp,1719824
