,SUL name,HypSizePercent,CTT,Total cost
1,Volksbank_learnresult_MAESTRO_fix.dot,14.285714285714285,H-ADS,28
1,Volksbank_learnresult_MAESTRO_fix.dot,28.57142857142857,H-ADS,252
1,Volksbank_learnresult_MAESTRO_fix.dot,42.857142857142854,H-ADS,6943
1,Volksbank_learnresult_MAESTRO_fix.dot,71.42857142857143,H-ADS,24673
1,Volksbank_learnresult_MAESTRO_fix.dot,100.0,H-ADS,38392
206,Volksbank_learnresult_MAESTRO_fix.dot,14.285714285714285,HSI,28
206,Volksbank_learnresult_MAESTRO_fix.dot,28.57142857142857,HSI,252
206,Volksbank_learnresult_MAESTRO_fix.dot,42.857142857142854,HSI,6943
206,Volksbank_learnresult_MAESTRO_fix.dot,71.42857142857143,HSI,24673
206,Volksbank_learnresult_MAESTRO_fix.dot,100.0,HSI,38392
231,Volksbank_learnresult_MAESTRO_fix.dot,14.285714285714285,W,28
231,Volksbank_learnresult_MAESTRO_fix.dot,28.57142857142857,W,252
231,Volksbank_learnresult_MAESTRO_fix.dot,42.857142857142854,W,6943
231,Volksbank_learnresult_MAESTRO_fix.dot,71.42857142857143,W,29522
231,Volksbank_learnresult_MAESTRO_fix.dot,100.0,W,36531
346,Volksbank_learnresult_MAESTRO_fix.dot,14.285714285714285,Wp,28
346,Volksbank_learnresult_MAESTRO_fix.dot,28.57142857142857,Wp,252
346,Volksbank_learnresult_MAESTRO_fix.dot,42.857142857142854,Wp,6943
346,Volksbank_learnresult_MAESTRO_fix.dot,71.42857142857143,Wp,24452
346,Volksbank_learnresult_MAESTRO_fix.dot,100.0,Wp,36140
383,Volksbank_learnresult_MAESTRO_fix.dot,14.285714285714285,H,28
383,Volksbank_learnresult_MAESTRO_fix.dot,28.57142857142857,H,252
383,Volksbank_learnresult_MAESTRO_fix.dot,42.857142857142854,H,14104
383,Volksbank_learnresult_MAESTRO_fix.dot,71.42857142857143,H,31760
383,Volksbank_learnresult_MAESTRO_fix.dot,100.0,H,34601
544,Volksbank_learnresult_MAESTRO_fix.dot,14.285714285714285,SPY-H,28
544,Volksbank_learnresult_MAESTRO_fix.dot,28.57142857142857,SPY-H,252
544,Volksbank_learnresult_MAESTRO_fix.dot,42.857142857142854,SPY-H,11771
544,Volksbank_learnresult_MAESTRO_fix.dot,71.42857142857143,SPY-H,29096
544,Volksbank_learnresult_MAESTRO_fix.dot,100.0,SPY-H,44414
558,Volksbank_learnresult_MAESTRO_fix.dot,14.285714285714285,SPY,28
558,Volksbank_learnresult_MAESTRO_fix.dot,28.57142857142857,SPY,252
558,Volksbank_learnresult_MAESTRO_fix.dot,42.857142857142854,SPY,2456
558,Volksbank_learnresult_MAESTRO_fix.dot,71.42857142857143,SPY,10245
558,Volksbank_learnresult_MAESTRO_fix.dot,100.0,SPY,26703
