,SUL name,HypSizePercent,CTT,Total cost
36,miTLS_0.1.3_server_regular.dot,16.666666666666664,W,16
36,miTLS_0.1.3_server_regular.dot,33.33333333333333,W,96
36,miTLS_0.1.3_server_regular.dot,66.66666666666666,W,208
36,miTLS_0.1.3_server_regular.dot,83.33333333333334,W,6008
36,miTLS_0.1.3_server_regular.dot,100.0,W,10494
50,miTLS_0.1.3_server_regular.dot,16.666666666666664,Wp,16
50,miTLS_0.1.3_server_regular.dot,33.33333333333333,Wp,96
50,miTLS_0.1.3_server_regular.dot,66.66666666666666,Wp,208
50,miTLS_0.1.3_server_regular.dot,83.33333333333334,Wp,3192
50,miTLS_0.1.3_server_regular.dot,100.0,Wp,7166
59,miTLS_0.1.3_server_regular.dot,16.666666666666664,HadsInt,16
59,miTLS_0.1.3_server_regular.dot,33.33333333333333,HadsInt,96
59,miTLS_0.1.3_server_regular.dot,66.66666666666666,HadsInt,208
59,miTLS_0.1.3_server_regular.dot,83.33333333333334,HadsInt,3192
59,miTLS_0.1.3_server_regular.dot,100.0,HadsInt,9982
327,miTLS_0.1.3_server_regular.dot,16.666666666666664,Hsi,16
327,miTLS_0.1.3_server_regular.dot,33.33333333333333,Hsi,96
327,miTLS_0.1.3_server_regular.dot,66.66666666666666,Hsi,208
327,miTLS_0.1.3_server_regular.dot,83.33333333333334,Hsi,3192
327,miTLS_0.1.3_server_regular.dot,100.0,Hsi,9982
448,miTLS_0.1.3_server_regular.dot,16.666666666666664,H,16
448,miTLS_0.1.3_server_regular.dot,33.33333333333333,H,96
448,miTLS_0.1.3_server_regular.dot,66.66666666666666,H,928
448,miTLS_0.1.3_server_regular.dot,83.33333333333334,H,9124
448,miTLS_0.1.3_server_regular.dot,100.0,H,28437
579,miTLS_0.1.3_server_regular.dot,16.666666666666664,SPY,16
579,miTLS_0.1.3_server_regular.dot,33.33333333333333,SPY,96
579,miTLS_0.1.3_server_regular.dot,66.66666666666666,SPY,2162
579,miTLS_0.1.3_server_regular.dot,100.0,SPY,6232
617,miTLS_0.1.3_server_regular.dot,16.666666666666664,SPYH,16
617,miTLS_0.1.3_server_regular.dot,33.33333333333333,SPYH,96
617,miTLS_0.1.3_server_regular.dot,66.66666666666666,SPYH,838
617,miTLS_0.1.3_server_regular.dot,83.33333333333334,SPYH,8666
617,miTLS_0.1.3_server_regular.dot,100.0,SPYH,28184
