,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",22,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,1.7241379310344827
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",836,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,13.793103448275861
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",1640,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,15.517241379310345
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",3324,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,20.689655172413794
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",5815,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,24.137931034482758
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",6201,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,25.862068965517242
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",12117,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,29.310344827586203
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",35224,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,32.758620689655174
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",105071,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,34.48275862068966
30,"L# (SepSeq, SepSeq)",81,HadsInt,HadsInt,2,8,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '58/264', '119/582', '125/753', '74/350', '135/717', '115/780', '90/694', '79/536', '121/767', '883/7167', '177/1370', '113/765', '375/3875', '381/4065', '98/1219', '85/1042', '202/2068', '132/1453', '193/1934', '446/5344']","['10/20', '135/540', '185/1102', '292/1738', '6/36', '847/5199', '3312/22327', '8368/69153', '15838/143435', '2577/26024', '24251/193498', '38782/431454', '116326/1337291', '29131/267643', '2072/24239', '10902/137126', '9468/128965', '95720/1059610', '340/3511', '3252/37474', '7610/92078']","[1, 8, 9, 12, 14, 15, 17, 19, 20, 21, 22, 36, 38, 39, 43, 47, 48, 49, 51, 52, 54, 58]",56029544,4189,36561,369424,3982463,22,20404,OK,"[  22  188  246  365  490  564  699  814  904  983 1104 1987 2164 2277
 2652 3033 3131 3216 3418 3550 3743 4189]","[   22   816  1080  1662  2415  2765  3482  4262  4956  5492  6259 13426
 14796 15561 19436 23501 24720 25762 27830 29283 31217 36561]","[0, 10, 145, 330, 622, 628, 1475, 4787, 13155, 28993, 31570, 55821, 94603, 210929, 240060, 242132, 253034, 262502, 358222, 358562, 361814, 369424]","[0, 20, 560, 1662, 3400, 3436, 8635, 30962, 100115, 243550, 269574, 463072, 894526, 2231817, 2499460, 2523699, 2660825, 2789790, 3849400, 3852911, 3890385, 3982463]",4019024,373613,4392637,40750,4351887,"[    22    198    391    695   1112   1192   2174   5601  14059  29976
  32674  57808  96767 213206 242712 245165 256165 265718 361640 362112
 365557 373613]",249042,0.9621619455301147,1856351967.5,Fixed,FromRhapsodyToDezyne,36.206896551724135
