,SUL name,HypSizePercent,CTT,Total cost
45,model4.dot,2.941176470588235,W,28
45,model4.dot,5.88235294117647,W,126
45,model4.dot,8.823529411764707,W,13760
45,model4.dot,20.588235294117645,W,32669
45,model4.dot,26.47058823529412,W,33157
45,model4.dot,29.411764705882355,W,37528
45,model4.dot,50.0,W,45625
45,model4.dot,52.94117647058824,W,534855
45,model4.dot,55.88235294117647,W,644572
45,model4.dot,61.76470588235294,W,731604
45,model4.dot,73.52941176470588,W,733910
45,model4.dot,76.47058823529412,W,734447
45,model4.dot,79.41176470588235,W,756739
45,model4.dot,82.35294117647058,W,758078
45,model4.dot,88.23529411764706,W,779481
45,model4.dot,94.11764705882352,W,866506
45,model4.dot,97.05882352941177,W,2211064
45,model4.dot,100.0,W,3250942
102,model4.dot,2.941176470588235,Wp,28
102,model4.dot,5.88235294117647,Wp,126
102,model4.dot,8.823529411764707,Wp,13760
102,model4.dot,20.588235294117645,Wp,21684
102,model4.dot,26.47058823529412,Wp,22172
102,model4.dot,29.411764705882355,Wp,26543
102,model4.dot,50.0,Wp,34640
102,model4.dot,52.94117647058824,Wp,326006
102,model4.dot,55.88235294117647,Wp,332552
102,model4.dot,61.76470588235294,Wp,338485
102,model4.dot,73.52941176470588,Wp,340700
102,model4.dot,76.47058823529412,Wp,341237
102,model4.dot,79.41176470588235,Wp,361225
102,model4.dot,82.35294117647058,Wp,362564
102,model4.dot,85.29411764705883,Wp,383084
102,model4.dot,88.23529411764706,Wp,383935
102,model4.dot,91.17647058823529,Wp,455698
102,model4.dot,94.11764705882352,Wp,456693
102,model4.dot,97.05882352941177,Wp,1441394
102,model4.dot,100.0,Wp,2135006
134,model4.dot,2.941176470588235,H-ADS,28
134,model4.dot,5.88235294117647,H-ADS,126
134,model4.dot,8.823529411764707,H-ADS,13760
134,model4.dot,20.588235294117645,H-ADS,20479
134,model4.dot,26.47058823529412,H-ADS,20760
134,model4.dot,29.411764705882355,H-ADS,25160
134,model4.dot,32.35294117647059,H-ADS,60697
134,model4.dot,38.23529411764706,H-ADS,174769
134,model4.dot,50.0,H-ADS,199127
134,model4.dot,52.94117647058824,H-ADS,324830
134,model4.dot,55.88235294117647,H-ADS,334733
134,model4.dot,61.76470588235294,H-ADS,335497
134,model4.dot,64.70588235294117,H-ADS,335848
134,model4.dot,67.64705882352942,H-ADS,336232
134,model4.dot,70.58823529411765,H-ADS,381245
134,model4.dot,73.52941176470588,H-ADS,414052
134,model4.dot,76.47058823529412,H-ADS,417559
134,model4.dot,88.23529411764706,H-ADS,523498
134,model4.dot,91.17647058823529,H-ADS,827148
134,model4.dot,94.11764705882352,H-ADS,1010493
134,model4.dot,97.05882352941177,H-ADS,1620877
134,model4.dot,100.0,H-ADS,1683978
345,model4.dot,2.941176470588235,HSI,28
345,model4.dot,5.88235294117647,HSI,126
345,model4.dot,8.823529411764707,HSI,13760
345,model4.dot,20.588235294117645,HSI,20479
345,model4.dot,26.47058823529412,HSI,20760
345,model4.dot,29.411764705882355,HSI,25160
345,model4.dot,32.35294117647059,HSI,54867
345,model4.dot,38.23529411764706,HSI,146708
345,model4.dot,52.94117647058824,HSI,158862
345,model4.dot,55.88235294117647,HSI,272228
345,model4.dot,58.82352941176471,HSI,282848
345,model4.dot,64.70588235294117,HSI,283627
345,model4.dot,67.64705882352942,HSI,283978
345,model4.dot,70.58823529411765,HSI,284362
345,model4.dot,73.52941176470588,HSI,320977
345,model4.dot,76.47058823529412,HSI,347792
345,model4.dot,79.41176470588235,HSI,350383
345,model4.dot,91.17647058823529,HSI,436072
345,model4.dot,94.11764705882352,HSI,651374
345,model4.dot,97.05882352941177,HSI,790160
345,model4.dot,100.0,HSI,1268735
441,model4.dot,2.941176470588235,H,28
441,model4.dot,5.88235294117647,H,126
441,model4.dot,8.823529411764707,H,13154
441,model4.dot,20.588235294117645,H,25418
441,model4.dot,26.47058823529412,H,25639
441,model4.dot,32.35294117647059,H,28515
441,model4.dot,41.17647058823529,H,33740
441,model4.dot,44.11764705882353,H,34288
441,model4.dot,47.05882352941176,H,44526
441,model4.dot,50.0,H,56656
441,model4.dot,52.94117647058824,H,56857
441,model4.dot,55.88235294117647,H,57044
441,model4.dot,58.82352941176471,H,57708
441,model4.dot,64.70588235294117,H,125228
441,model4.dot,67.64705882352942,H,138599
441,model4.dot,70.58823529411765,H,142870
441,model4.dot,73.52941176470588,H,143118
441,model4.dot,76.47058823529412,H,143585
441,model4.dot,79.41176470588235,H,144350
441,model4.dot,82.35294117647058,H,178328
441,model4.dot,85.29411764705883,H,237519
441,model4.dot,88.23529411764706,H,351564
441,model4.dot,91.17647058823529,H,437350
441,model4.dot,94.11764705882352,H,504462
441,model4.dot,97.05882352941177,H,607704
441,model4.dot,100.0,H,1654866
536,model4.dot,2.941176470588235,SPY-H,28
536,model4.dot,5.88235294117647,SPY-H,126
536,model4.dot,8.823529411764707,SPY-H,11436
536,model4.dot,20.588235294117645,SPY-H,21961
536,model4.dot,26.47058823529412,SPY-H,22289
536,model4.dot,32.35294117647059,SPY-H,33731
536,model4.dot,38.23529411764706,SPY-H,36027
536,model4.dot,47.05882352941176,SPY-H,118353
536,model4.dot,52.94117647058824,SPY-H,187476
536,model4.dot,55.88235294117647,SPY-H,289119
536,model4.dot,61.76470588235294,SPY-H,376914
536,model4.dot,64.70588235294117,SPY-H,379423
536,model4.dot,67.64705882352942,SPY-H,387838
536,model4.dot,70.58823529411765,SPY-H,402451
536,model4.dot,73.52941176470588,SPY-H,428177
536,model4.dot,79.41176470588235,SPY-H,431088
536,model4.dot,82.35294117647058,SPY-H,445382
536,model4.dot,85.29411764705883,SPY-H,466449
536,model4.dot,88.23529411764706,SPY-H,490596
536,model4.dot,91.17647058823529,SPY-H,538398
536,model4.dot,94.11764705882352,SPY-H,606924
536,model4.dot,97.05882352941177,SPY-H,671359
