Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,4_learnresult_MAESTRO_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '10/50']","['9/18', '8784/43919', '31288/156439']","[1, 4, 5]",6116888,116,461,40081,200376,4,788,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.1g_client_regular.dot,10,7,Compressed,"['7/7', '7/21', '21/58', '12/47', '11/44', '26/140', '13/65', '16/94', '15/104']","['7/14', '8/40', '119/594', '113/564', '197/993', '198/996', '1171/5864', '135/678']","[1, 2, 3, 4, 5, 7, 8, 9]",376248,128,580,1948,9743,9,96,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_FreeBSD_Client.dot,12,10,Compressed,"['10/10', '18/46', '58/207', '21/84', '31/120', '70/393', '56/333']","['22/44', '33/132', '170/770', '650/2891', '830/4920', '1112/9678']","[1, 2, 5, 6, 7, 10]",431204,264,1193,2817,18435,7,98,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,model3.dot,58,22,Compressed,"['22/22', '166/794', '114/825', '56/258', '82/445', '54/263', '177/1433', '293/2088', '77/364', '105/545', '116/726', '84/744', '125/982', '771/6942', '85/694', '70/694', '61/629', '75/965', '120/1350', '229/2393', '264/4018', '179/2715', '689/9259', '92/1277', '105/1417']","['10/20', '1/4', '2/9', '2/10', '219/924', '1/6', '2/14', '203/1027', '3668/19488', '6958/40281', '1/7', '376/3097', '222/1973', '63066/1007428', '7999/99846', '10661/119672', '16/239', '356/5344', '73/806', '465/7287', '9651/130735', '448/6436', '58/625', '220/4514']","[1, 8, 11, 12, 13, 14, 18, 21, 22, 24, 26, 27, 28, 38, 39, 40, 41, 42, 43, 44, 46, 48, 56, 57]",14891124,4211,41842,104678,1449792,25,16598,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,TCP_Linux_Server.dot,57,12,Compressed,"['12/12', '17/46', '19/102', '104/529', '104/785', '82/500', '43/300', '31/172', '62/462', '42/449', '52/524', '44/324', '47/424', '89/759', '54/434', '49/473', '50/460', '59/599', '51/475', '107/1183', '53/610', '88/843', '64/564', '58/547', '57/588', '287/2919', '230/2061', '43/438', '135/1697', '267/3283', '71/904', '65/906', '148/1951', '193/2907', '82/905']","['91/182', '83/415', '74/451', '20638/155780', '3/21', '30/173', '1600/11151', '3115/21864', '48/604', '1897/26508', '20981/300080', '8/101', '18/235', '137/1640', '96/984', '42/369', '75/1051', '20748/289714', '43/615', '20958/305289', '7365/118266', '25746/358164', '61635/908682', '1909/26918', '74412/1073921', '487/4226', '2/24', '621/9378', '61/1079', '2/28', '61/1089', '21158/416203', '6980/135181', '159942/2884991']","[1, 2, 3, 7, 11, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 41, 45, 46, 47, 50, 51, 52, 54, 56]",96709836,2959,30135,451066,7055377,35,54851,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,4_learnresult_SecureCode Aut_fix.dot,4,14,Compressed,"['14/14', '33/108', '34/161']","['9/18', '3358/14059']","[1, 3]",413892,81,283,3367,14077,3,29,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_Windows8_Server.dot,38,13,Compressed,"['13/13', '82/342', '50/281', '215/1459', '60/450', '57/506', '220/2023', '54/444', '62/577', '88/1037', '57/297', '106/885', '62/399', '58/430', '53/455', '55/525', '64/587', '63/557', '251/2350', '78/849', '149/1977', '80/881', '76/852', '68/693', '73/870']","['98/196', '89/534', '4230/34705', '6/37', '364/2188', '25/314', '2509/33673', '22/323', '4573/66683', '782/7499', '77/693', '357/1967', '83/930', '22/339', '12/176', '276/4473', '5487/81375', '5848/76378', '4/44', '41/349', '2728/48384', '13167/231277', '6272/95315', '29445/469302']","[1, 5, 6, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 37]",14054404,2194,19739,76517,1157154,25,7063,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/58', '12/36', '12/48', '26/144']","['4/8', '8/32', '16/63', '115/463', '584/2743']","[1, 2, 3, 4, 5]",99360,88,320,727,3309,6,13,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,NSS_3.17.4_server_regular.dot,8,8,Compressed,"['8/8', '20/64', '16/45', '5/20', '8/40', '16/104']","['4/8', '25/124', '288/1439', '1025/5124', '2778/13922']","[1, 3, 4, 5, 6]",802216,73,281,4120,20617,6,173,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.2_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '8/32', '11/55', '12/70']","['7/14', '8/32', '231/926', '593/2854', '24/167']","[1, 2, 3, 4, 5]",103560,67,246,863,3993,6,29,OK
